"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Weak.foot"
"J. Kembo-Ekoko",30,74,74,2,"Attacker",5500000,15000,3,335,362,372,350,326,3
"C. Clemens",26,74,74,2,"Attacker",6e+06,20000,3,342,357,377,355,299,3
"Gil Dias",21,74,79,3,"Attacker",7500000,1000,4,317,343,386,330,278,4
"Diogo Dalot",19,74,85,4,"Attacker",8e+06,30000,3,312,332,370,369,333,3
"D. Saba",25,74,76,2,"Attacker",7e+06,15000,3,318,326,425,329,282,4
"Edgar Méndez",27,74,74,4,"Attacker",6e+06,20000,3,356,328,340,368,332,2
"L. Vietto",24,74,77,NA,"Attacker",7500000,40000,3,351,362,382,339,318,3
"A. Meier",35,74,74,0,"Attacker",2600000,15000,3,371,349,224,312,339,2
"L. Ajorque",24,74,79,3,"Attacker",7500000,15000,3,309,260,267,372,294,2
"G. Kakuta",27,74,74,3,"Attacker",6e+06,20000,4,343,380,393,351,279,3
"Carlos Fernández",22,74,83,NA,"Attacker",9e+06,10000,3,325,283,336,360,295,3
"V. Kovalenko",22,74,82,1,"Attacker",8500000,1000,3,351,366,365,366,337,3
"Kahraba",24,74,77,NA,"Attacker",0,0,3,326,327,374,356,291,4
"Hélton Celanova",26,74,74,2,"Attacker",6e+06,20000,3,339,304,301,368,287,3
"G. Caprari",24,74,77,3,"Attacker",7500000,30000,3,321,361,422,299,243,3
"G. Hauche",31,74,74,1,"Attacker",4900000,15000,4,328,353,409,351,315,3
"C. Ciano",28,74,74,2,"Attacker",6e+06,15000,4,351,377,391,330,298,4
"Erick Gameira",26,74,74,2,"Attacker",6e+06,15000,3,345,307,400,322,286,3
"E. Thommy",23,74,77,3,"Attacker",7e+06,20000,3,335,368,385,310,260,3
"G. Lapadula",28,74,74,3,"Attacker",6e+06,15000,3,341,320,386,334,308,3
"L. Cavallini",25,74,77,3,"Attacker",7e+06,9000,3,302,282,348,365,302,3
"Jadson Vidigal",26,74,74,2,"Attacker",6e+06,30000,2,338,283,370,368,291,3
"O. Kayode",25,74,77,4,"Attacker",7e+06,1000,3,321,309,426,342,293,2
"I. Nestorovski",28,74,74,2,"Attacker",6e+06,6000,3,314,310,357,376,291,4
"F. Castillo",26,74,74,0,"Attacker",6e+06,20000,4,303,356,425,338,303,4
"Carlitos",28,74,74,2,"Attacker",6e+06,10000,4,335,372,410,353,322,2
"Fabrício",28,74,74,0,"Attacker",6e+06,15000,4,350,359,353,385,339,2
"C. Mayada",27,74,74,0,"Attacker",4600000,20000,3,330,354,415,382,334,3
"S. Ribas",30,74,74,2,"Attacker",5500000,20000,3,320,314,332,381,291,4
"A. Allione",23,74,80,0,"Attacker",7500000,15000,3,316,359,384,323,297,3
"G. Tutino",21,74,82,NA,"Attacker",8500000,4000,3,350,356,374,355,296,3
"A. El Ghazi",23,74,79,NA,"Attacker",7500000,20000,4,353,356,345,361,284,4
"K. Dolly",25,74,77,2,"Attacker",7e+06,20000,3,294,359,399,309,278,4
"F. Mora",24,74,77,4,"Attacker",7500000,20000,3,312,303,373,367,260,3
"M. Caraglio",29,74,74,0,"Attacker",5500000,30000,3,360,299,281,391,308,3
"C. Théréau",35,74,74,NA,"Attacker",2500000,20000,4,380,350,332,353,310,4
"Sebas Couteira",30,74,74,2,"Attacker",5500000,15000,4,343,352,366,271,288,4
"C. Rius",29,74,74,0,"Attacker",5500000,15000,3,325,342,386,319,305,3
"L. Diony",25,74,77,2,"Attacker",7e+06,30000,3,344,291,367,370,299,3
"Álvaro García",25,74,75,4,"Attacker",6500000,15000,3,313,311,440,319,254,3
"Kauã Abranches",34,74,74,2,"Attacker",2800000,20000,3,307,312,407,318,316,4
"A. Gyan",32,74,74,0,"Attacker",4500000,15000,3,364,305,352,358,307,3
"T. Bifouma",26,74,74,1,"Attacker",6e+06,15000,4,326,303,424,374,290,4
"W. Saïd",23,74,80,2,"Attacker",8e+06,15000,3,346,316,402,318,264,2
"G. Charbonnier",29,74,74,2,"Attacker",5500000,9000,3,343,313,295,356,291,3
"L. Öztunalı",22,74,80,2,"Attacker",7500000,20000,3,319,373,377,347,307,3
"A. Ajeti",21,74,79,3,"Attacker",7500000,20000,3,338,286,361,378,272,4
"O. Aina",21,74,83,NA,"Attacker",8500000,30000,3,321,326,398,373,318,3
"Luiz Araújo",22,74,83,3,"Attacker",8500000,20000,3,309,345,422,291,281,2
"Y. En-Nesyri",21,74,80,4,"Attacker",8e+06,20000,3,332,280,338,359,269,4
"J. Lolley",25,74,74,4,"Attacker",6e+06,40000,3,314,338,403,321,303,3
"K. Diatta",19,74,85,5,"Attacker",9500000,10000,3,318,313,420,358,275,4
"A. Hahn",27,74,74,3,"Attacker",6e+06,20000,3,367,299,346,408,335,4
"H. Martín",25,74,75,4,"Attacker",7e+06,50000,3,346,320,393,369,296,3
"L. Melgarejo",27,74,74,1,"Attacker",6e+06,2000,4,345,328,396,361,340,2
"I. Sosa",31,74,74,NA,"Attacker",4900000,30000,3,335,335,386,355,323,3
"K. Konaté",26,74,74,NA,"Attacker",0,0,3,348,364,410,353,306,4
"S. Chukwueze",19,74,86,4,"Attacker",1e+07,10000,4,316,336,412,356,269,3
"L. Marković",24,74,76,0,"Attacker",7e+06,40000,4,333,364,404,305,300,3
"D. Lazović",27,74,74,1,"Attacker",6e+06,15000,3,333,363,381,257,290,4
"C. Fassnacht",24,74,76,2,"Attacker",7e+06,15000,3,340,301,374,357,276,3
"Quique",28,74,74,3,"Attacker",6e+06,10000,3,347,325,383,357,305,3
"A. Pulido",27,74,74,2,"Attacker",6e+06,30000,3,337,329,367,366,307,2
"M. Krmenčík",25,74,77,2,"Attacker",7e+06,1000,3,340,294,344,335,306,3
"Sabin Merino",26,74,74,NA,"Attacker",6e+06,30000,4,369,351,323,316,325,3
"E. Dennis",20,74,83,2,"Attacker",8500000,15000,4,342,311,430,361,271,3
"S. Okaka",28,74,74,NA,"Attacker",6e+06,30000,2,333,281,293,380,292,3
"M. Škoda",32,74,74,1,"Attacker",4500000,1000,3,348,296,288,351,340,2
"Carlos Mané",24,74,77,NA,"Attacker",7e+06,30000,4,340,337,417,312,314,3
"João Victor",24,74,76,2,"Attacker",7e+06,10000,4,308,311,399,309,278,5
"N. Roux",30,74,74,1,"Attacker",5500000,20000,2,357,331,356,355,297,1
"Pedro Santos",30,74,74,0,"Attacker",5500000,8000,3,338,364,378,342,328,5
"J. Larsen",19,74,85,2,"Attacker",9500000,20000,3,341,335,390,352,317,4
"K. Kamara",33,74,74,1,"Attacker",3500000,9000,3,351,292,355,385,315,3
"J. Mbakogu",25,74,76,3,"Attacker",7e+06,5000,3,326,314,398,384,286,3
"L. Waldschmidt",22,74,79,3,"Attacker",7500000,20000,3,334,327,378,338,299,3
"L. Fernández",27,74,74,NA,"Attacker",6e+06,15000,3,341,308,385,365,328,4
"A. Lozano",25,74,77,3,"Attacker",7e+06,30000,3,333,282,363,360,288,3
"Bebé",27,74,74,2,"Attacker",6e+06,20000,3,343,360,364,388,304,4
"M. Vydra",26,74,75,2,"Attacker",6500000,40000,3,339,338,394,348,310,4
"Carmona",30,74,74,2,"Attacker",5500000,10000,3,340,383,350,343,335,3
"M. Diaby",18,74,85,1,"Attacker",9e+06,30000,4,300,326,409,292,273,2
"Dentinho",29,74,74,2,"Attacker",5500000,1000,4,338,328,373,327,320,4
"L. Villafañez",26,74,74,1,"Attacker",6e+06,15000,3,330,368,387,302,285,3
"F. Pardo",27,74,74,4,"Attacker",6e+06,20000,3,358,362,378,374,322,4
"W. Morelo",31,74,74,2,"Attacker",5e+06,15000,3,321,336,402,363,316,3
"M. Diop",30,74,74,1,"Attacker",5500000,15000,3,347,310,338,383,308,3
"A. del Valle",29,74,74,NA,"Attacker",5500000,10000,4,337,321,387,364,289,2
"Adama",22,74,82,4,"Attacker",8500000,50000,4,289,334,422,358,249,2
"L. Depoitre",29,74,74,0,"Attacker",5500000,40000,2,340,271,255,366,311,2
"C. Musonda",21,74,81,3,"Attacker",8e+06,10000,4,300,355,410,267,242,5
"Nuno da Costa",27,74,74,2,"Attacker",6e+06,20000,3,344,305,380,350,297,3
"J. Ito",25,74,75,NA,"Attacker",6500000,15000,3,312,302,403,337,333,3
"S. Benrahma",22,74,80,3,"Attacker",7500000,40000,3,328,357,370,303,285,4
"M. Etxeberría",26,74,74,NA,"Attacker",0,0,4,335,368,387,341,343,4
"Douglas",30,74,74,0,"Attacker",5500000,6000,3,323,265,331,379,268,3
"A. Cornelius",25,74,76,NA,"Attacker",7e+06,30000,3,330,282,309,376,299,3
"S. Bahoken",26,74,75,3,"Attacker",6500000,20000,3,336,260,377,350,248,3
"C. Larin",23,74,79,3,"Attacker",7500000,40000,3,309,222,316,366,270,4
"B. Linssen",27,74,74,1,"Attacker",6e+06,15000,3,352,347,384,370,299,3
"L. Rodríguez",21,74,81,NA,"Attacker",8e+06,6000,3,291,351,394,305,302,4
"F. Zampedri",30,74,74,2,"Attacker",5500000,15000,3,330,266,335,383,283,3
"A. Zeneli",23,74,78,5,"Attacker",7500000,15000,4,322,361,405,307,297,3
"A. Koné",34,74,74,1,"Attacker",3e+06,15000,3,345,307,331,377,281,4
"C. Bassogog",22,74,81,1,"Attacker",8e+06,15000,4,312,361,417,356,274,2
"A. Fulgini",21,74,82,2,"Attacker",8500000,15000,3,332,360,359,319,323,4
"E. Barco",19,74,85,1,"Attacker",9500000,4000,3,281,330,402,278,295,4
"B. Sharp",32,74,74,2,"Attacker",4500000,15000,2,357,299,338,330,330,3
"G. Blanco",26,74,75,1,"Attacker",6500000,10000,2,313,222,309,373,269,3
"J. Russell",28,74,74,1,"Attacker",5500000,10000,3,346,346,386,381,339,3
"Óscar Plano",27,74,74,2,"Attacker",6e+06,20000,3,322,353,378,363,309,4
"J. Iturbe",25,74,75,3,"Attacker",6500000,20000,4,302,354,423,319,305,2
"L. Hinterseer",27,74,74,0,"Attacker",6e+06,20000,3,362,308,327,358,304,3
"Marcos Guilherme",22,74,80,4,"Attacker",7500000,20000,3,310,352,397,293,278,3
"P. Mouche",30,74,74,1,"Attacker",5500000,9000,3,353,358,374,357,263,4
"J. Biabiany",30,74,74,2,"Attacker",5500000,40000,3,328,321,421,330,280,3
"E. Bauthéac",30,74,74,0,"Attacker",5500000,8000,3,326,361,391,319,313,4
"L. Holtby",27,74,74,0,"Attacker",6e+06,15000,3,330,386,373,374,342,4
"L. Advíncula B",28,74,74,NA,"Attacker",4400000,15000,3,327,357,412,370,325,4
"F. Soldano",23,74,81,4,"Attacker",8e+06,1000,3,312,273,345,371,284,3
"J. Gallardo",23,74,77,4,"Attacker",7e+06,30000,3,322,323,369,355,312,1
"Camilo",29,74,74,3,"Attacker",5500000,10000,4,352,364,383,362,293,4
"J. Schmid  B",28,74,74,1,"Attacker",4400000,20000,3,337,370,386,358,353,3
"S. Long",31,73,73,1,"Attacker",3600000,40000,3,344,279,377,370,332,2
"S. Araujo",26,73,74,4,"Attacker",4800000,10000,3,325,356,371,330,260,4
"G. Lezcano",31,73,73,1,"Attacker",3500000,10000,3,337,339,392,365,287,4
"J. Cuevas",30,73,73,1,"Attacker",3800000,5000,3,329,347,412,332,317,3
"J. Zmrhal",24,73,74,2,"Attacker",4800000,1000,3,333,333,356,343,296,2
"Guerrero",27,73,73,2,"Attacker",4300000,2000,3,347,329,345,348,317,3
"F. Boulaya",25,73,74,3,"Attacker",4800000,8000,5,300,369,369,312,269,4
"R. Kent",21,73,84,NA,"Attacker",7e+06,30000,4,275,309,416,289,250,5
"N. Fernández",22,73,81,2,"Attacker",6e+06,10000,3,334,305,417,324,271,3
"J. Vossen",29,73,73,1,"Attacker",4e+06,20000,3,358,345,338,352,348,4
"H. Diallo",23,73,80,3,"Attacker",5500000,7000,3,320,264,336,349,277,2
"A. Bălută",24,73,76,3,"Attacker",5e+06,1000,3,318,304,415,322,310,4
"A. Di Gaudio",28,73,73,NA,"Attacker",4e+06,6000,4,296,311,432,300,251,4
"T. Goiginger",25,73,74,3,"Attacker",4800000,10000,4,327,333,386,320,295,3
"K. Karaman",24,73,76,2,"Attacker",5e+06,20000,3,343,287,354,365,277,3
"Pietrson Mendes",34,73,73,2,"Attacker",2e+06,10000,3,346,363,391,311,296,3
"Salvi Sánchez",27,73,73,1,"Attacker",4200000,10000,3,305,343,407,301,294,3
"F. Chalov",20,73,85,3,"Attacker",7e+06,1000,3,315,280,375,332,273,4
"A. Mendy",24,73,77,NA,"Attacker",5500000,20000,2,302,266,334,375,284,3
"Manu Vallejo",21,73,84,NA,"Attacker",7e+06,8000,3,340,344,396,349,281,3
"Nildo Petrolina",32,73,73,1,"Attacker",3100000,20000,3,339,358,389,352,331,4
"D. Malen",19,73,83,5,"Attacker",6500000,8000,4,322,312,406,349,276,3
"S. Skrzybski",25,73,74,2,"Attacker",4800000,20000,3,341,331,406,357,296,3
"C. Beauvue",30,73,73,NA,"Attacker",3900000,20000,3,378,330,351,342,298,3
"F. Macheda",26,73,73,2,"Attacker",4400000,2000,3,345,287,338,346,278,3
"Daniel Candeias",30,73,73,1,"Attacker",3800000,40000,4,326,355,408,327,325,4
"O. Hernández",25,73,74,4,"Attacker",4800000,20000,3,304,301,409,349,280,3
"N. Cardozo",31,73,73,1,"Attacker",3400000,15000,3,318,357,384,367,341,3
"M. Ishak",25,73,75,1,"Attacker",5e+06,20000,3,337,251,341,375,292,5
"R. Krishna",30,73,73,0,"Attacker",3900000,6000,4,329,343,427,361,332,4
"Gerso",27,73,73,0,"Attacker",4200000,8000,3,308,303,442,288,300,2
"S. Mendoza",26,73,73,2,"Attacker",4300000,15000,3,305,351,415,355,276,3
"D. Ciofani",32,73,73,2,"Attacker",3200000,15000,2,297,221,271,372,281,3
"E. Crivelli",23,73,77,2,"Attacker",5500000,20000,2,339,306,268,376,316,3
"C. Peralta",28,73,73,2,"Attacker",4100000,3000,3,319,236,354,333,250,3
"K. Monnet-Paquet  B",29,73,73,2,"Attacker",3900000,30000,3,343,329,374,361,312,3
"F. Mattiello",22,73,78,NA,"Attacker",5500000,20000,3,339,353,369,349,323,4
"N. Benezet",27,73,73,NA,"Attacker",4200000,8000,3,337,327,394,315,268,4
"P. Lasogga",26,73,74,0,"Attacker",4800000,15000,2,314,293,252,376,327,4
"D. Verde",22,73,81,NA,"Attacker",6e+06,15000,4,307,376,416,308,286,3
"M. Santos",25,73,76,NA,"Attacker",5e+06,20000,3,341,326,372,355,324,4
"J. Nsame",25,73,76,4,"Attacker",5e+06,20000,3,315,257,327,355,268,4
"C. Keşerü",31,73,73,NA,"Attacker",0,0,2,348,325,351,357,310,3
"D. Falcinelli",27,73,73,3,"Attacker",4300000,30000,3,308,274,345,344,265,2
"B. Lozano",24,73,75,2,"Attacker",4900000,15000,3,325,355,384,335,279,5
"Roberto Torres",29,73,73,2,"Attacker",3900000,10000,3,333,368,345,371,352,4
"M. Vlap",21,73,81,3,"Attacker",6e+06,7000,3,333,334,352,354,266,4
"K. Coulibaly",26,73,73,3,"Attacker",4400000,20000,3,348,265,295,322,288,3
"L. Masopust",25,73,74,3,"Attacker",4800000,1000,3,332,319,385,343,306,4
"B. Alıcı",21,73,80,NA,"Attacker",5500000,10000,3,318,336,379,294,283,4
"D. Blanco",23,73,79,NA,"Attacker",5500000,10000,3,310,356,412,337,317,3
"M. Kean",18,73,87,1,"Attacker",8500000,40000,3,309,298,370,341,256,3
"T. Minamino",23,73,80,2,"Attacker",5500000,30000,3,327,353,415,353,305,4
"Y. Sanogo",25,73,76,1,"Attacker",5e+06,20000,3,337,298,296,361,279,3
"Edigar Junio",27,73,73,NA,"Attacker",4300000,7000,3,337,324,402,333,289,4
"M. Kanazaki",29,73,73,2,"Attacker",4e+06,7000,3,351,312,373,374,324,4
"R. Aliendro",27,73,74,2,"Attacker",3800000,10000,4,351,319,384,371,338,3
"Álex Gallar",26,73,73,1,"Attacker",4300000,20000,3,331,373,358,341,280,4
"E. Mor",20,73,82,3,"Attacker",6e+06,15000,4,309,300,413,302,264,3
"Suk Hyun Jun",27,73,73,3,"Attacker",4300000,15000,3,331,326,303,380,297,4
"Puertas",26,73,73,1,"Attacker",4300000,9000,3,322,314,375,352,286,3
"A. Büyük",30,73,73,0,"Attacker",3800000,15000,3,343,322,389,355,305,3
"Élton",32,73,73,4,"Attacker",3100000,20000,5,320,380,392,321,294,3
"A. Ibargüen",26,73,73,1,"Attacker",4300000,40000,3,293,326,425,301,272,3
"F. Dionisi",31,73,73,2,"Attacker",3600000,15000,3,318,278,369,347,297,3
"H. Harbaoui",33,73,73,2,"Attacker",2500000,15000,3,354,278,296,341,320,3
"N. Nikolić",30,73,73,0,"Attacker",3900000,8000,3,335,318,345,359,299,4
"Rubén García",24,73,76,4,"Attacker",5e+06,8000,4,324,359,403,323,293,2
"S. Grandsir",21,73,81,NA,"Attacker",6e+06,10000,3,320,350,420,324,291,4
"S. Cárdenas",28,73,73,4,"Attacker",4e+06,2000,4,318,356,397,344,326,2
"A. Hassan",25,73,76,2,"Attacker",5e+06,1000,3,317,297,279,339,322,3
"F. Avenatti",25,73,76,NA,"Attacker",5e+06,15000,3,359,291,247,344,267,2
"S. de Jong",29,73,73,NA,"Attacker",3900000,10000,2,370,349,290,385,344,4
"L. Boyé",22,73,81,1,"Attacker",6e+06,1000,3,334,320,355,349,306,2
"F. Mubele",24,73,77,3,"Attacker",5500000,20000,3,316,319,411,366,324,2
"A. Chávez",27,73,73,2,"Attacker",4300000,15000,3,344,333,360,409,341,2
"M. Mahi",24,73,77,0,"Attacker",5500000,9000,4,341,354,373,354,303,4
"R. Meggiorini",32,73,73,2,"Attacker",3200000,15000,3,345,330,368,347,289,3
"H. Mukhtar",23,73,79,2,"Attacker",5500000,20000,3,297,345,399,345,281,5
"V. Osimhen",19,73,84,NA,"Attacker",6500000,8000,3,341,285,377,372,298,4
"T. Elyounoussi",30,73,73,0,"Attacker",3900000,10000,4,347,333,419,365,328,4
"A. Büttner",29,73,73,0,"Attacker",3900000,15000,3,330,368,361,366,358,3
"Cristiano",31,73,73,3,"Attacker",3600000,10000,3,331,354,354,377,306,4
"A. Nwakaeme",29,73,73,3,"Attacker",3900000,30000,3,335,324,368,373,267,3
"D. Ndongala",27,73,73,2,"Attacker",4200000,15000,3,299,332,431,314,258,3
"H. Barcos",34,73,73,0,"Attacker",2100000,6000,3,341,337,274,350,347,5
"Gus Outomouro",34,73,73,2,"Attacker",2100000,20000,3,349,337,386,342,270,3
"P. Arriola",23,73,77,1,"Attacker",5e+06,7000,3,308,326,390,352,336,3
"Matheus Cunha",19,73,86,4,"Attacker",7500000,20000,4,324,328,360,349,275,4
"O. John",26,73,73,2,"Attacker",4300000,10000,4,318,361,363,324,267,4
"I. Baldé",29,73,73,1,"Attacker",4e+06,10000,3,349,297,323,380,289,3
"E. Karaca",28,73,73,2,"Attacker",4e+06,15000,3,286,327,424,276,274,4
"G. Hooper",30,73,73,0,"Attacker",3900000,30000,3,350,284,339,357,281,2
"R. Emond",26,73,73,1,"Attacker",4400000,15000,2,335,287,332,343,299,3
"Nélson Oliveira",26,73,73,NA,"Attacker",4400000,30000,3,335,310,338,353,321,4
"M. Barrios",27,73,73,0,"Attacker",4200000,8000,3,316,327,441,307,303,2
"O. McBurnie",22,73,80,2,"Attacker",5500000,20000,3,315,249,333,353,291,2
"J. Dinenno",23,73,78,NA,"Attacker",5500000,3000,2,327,296,301,374,270,3
"C. Ninga",25,73,74,3,"Attacker",4800000,20000,3,343,319,379,391,297,3
"R. Alioui",26,73,74,0,"Attacker",4800000,15000,3,322,320,324,361,278,3
"E. Cerutti",26,73,73,NA,"Attacker",4300000,15000,4,320,326,395,335,315,4
"Gustavo Lobateiro",30,73,73,2,"Attacker",3800000,20000,3,326,297,383,301,281,5
"Pere Milla",25,73,76,1,"Attacker",5e+06,15000,3,334,334,368,334,280,2
"S. Naismith",31,73,73,NA,"Attacker",3600000,9000,3,350,323,354,382,377,3
"L. Barrios",33,73,73,1,"Attacker",2500000,15000,3,337,316,304,347,320,3
"F. Aristeguieta",26,73,74,4,"Attacker",4800000,3000,2,335,301,291,382,294,3
"O. Edouard",20,73,84,3,"Attacker",7e+06,30000,3,325,322,381,351,306,3
"A. Jahović",31,73,73,1,"Attacker",3600000,15000,3,312,254,291,342,276,3
"Evandro Rochedo",34,73,73,2,"Attacker",2100000,30000,3,333,334,303,334,296,4
"A. Ionov",29,73,73,NA,"Attacker",0,0,3,327,322,374,325,311,4
"Marcão",24,73,78,2,"Attacker",5500000,15000,3,305,254,304,376,258,3
"A. Besedin",22,73,79,1,"Attacker",5500000,1000,3,306,234,334,343,257,3
"G. Pazzini",33,73,73,1,"Attacker",2500000,6000,3,352,280,339,323,318,3
"A. Traoré",29,73,73,0,"Attacker",3900000,15000,4,344,360,381,360,328,4
"A. Donis",21,73,81,2,"Attacker",6e+06,20000,3,311,295,402,340,270,4
"F. Hinestroza",28,73,73,4,"Attacker",4e+06,5000,4,319,325,400,367,296,3
"R. Martínez",24,73,78,4,"Attacker",5500000,40000,3,327,302,373,364,290,3
"A. Taarabt",29,73,73,3,"Attacker",3900000,10000,4,315,373,355,297,310,4
"F. Klos",30,73,73,2,"Attacker",3900000,15000,2,331,257,286,368,323,4
"A. Ujah",27,73,73,2,"Attacker",4300000,20000,3,326,295,351,384,291,4
"A. Plata",27,73,73,NA,"Attacker",4200000,5000,3,314,281,412,354,307,4
"L. Ulloa",31,73,73,4,"Attacker",3600000,30000,2,348,315,262,367,317,3
"Murilo",23,73,79,4,"Attacker",5500000,10000,3,327,348,421,341,249,3
"L. Grabban",30,73,73,3,"Attacker",3900000,40000,3,347,308,353,326,283,3
"Patric",30,73,73,NA,"Attacker",3900000,10000,3,334,300,286,356,305,3
"Thiago Santana",25,73,75,3,"Attacker",5e+06,6000,3,330,314,338,353,291,4
"Roger Guedes",21,73,80,2,"Attacker",5500000,15000,4,346,349,363,339,283,3
"Paulinho",32,73,73,0,"Attacker",3100000,6000,4,312,345,392,355,308,4
"S. Adamyan",25,73,75,2,"Attacker",4900000,10000,4,337,300,376,352,290,3
"Kim Shin Wook",30,73,73,3,"Attacker",3900000,15000,3,345,311,300,371,307,3
"M. Pucciarelli",27,73,73,NA,"Attacker",4300000,15000,4,334,319,413,339,286,3
"J. Gressel B",24,73,76,0,"Attacker",5e+06,7000,3,330,337,341,355,338,4
"S. Al Dawsari",26,73,73,3,"Attacker",4300000,30000,4,324,339,385,339,323,4
"I. Success",22,73,80,4,"Attacker",5500000,40000,3,329,321,345,359,267,3
"S. Floccari",36,73,73,1,"Attacker",1400000,10000,3,339,318,334,348,277,3
"J. Kodjia",28,73,73,1,"Attacker",4100000,20000,3,324,300,374,359,292,3
"A. Diakhaby",21,73,78,2,"Attacker",5500000,30000,3,346,292,395,320,254,2
"D. Kadah",32,73,73,1,"Attacker",3100000,20000,3,355,339,336,378,319,4
"O. Tannane",24,73,76,NA,"Attacker",5e+06,15000,4,328,372,373,360,319,4
"M. Stępiński",23,73,80,2,"Attacker",5500000,15000,3,336,280,359,333,279,4
"G. Masouras",24,73,76,4,"Attacker",5e+06,1000,3,353,344,362,354,282,4
"J. Montero",28,73,73,NA,"Attacker",4e+06,30000,4,316,359,411,333,271,3
"A. Reach",25,73,76,2,"Attacker",5e+06,20000,3,342,326,373,393,292,4
"K. Iheanacho",21,73,80,3,"Attacker",5500000,40000,4,324,350,371,349,299,3
"M. Rzatkowski",28,73,73,2,"Attacker",4e+06,8000,3,313,366,385,349,324,3
"F. Gulbrandsen",25,73,74,0,"Attacker",4800000,30000,3,321,319,415,388,284,3
"O. Kragl  B",28,73,73,3,"Attacker",4e+06,4000,3,316,361,353,356,321,4
"R. Doan",20,73,84,2,"Attacker",7e+06,7000,3,314,349,402,321,274,3
"M. Stiepermann",27,73,73,3,"Attacker",4200000,20000,3,334,353,337,363,339,2
"U. Bozok",21,73,79,1,"Attacker",5500000,15000,3,336,292,375,333,280,3
"V. Misidjan",24,73,74,2,"Attacker",4800000,15000,3,310,340,417,302,275,4
"A. Tashaev",24,73,76,3,"Attacker",5e+06,1000,3,324,356,351,313,281,4
"K. Onisiwo",26,73,73,3,"Attacker",4400000,20000,3,337,331,356,343,306,3
"Oswaldito Cuba",34,73,73,2,"Attacker",1100000,15000,3,323,324,429,331,319,3
"A. Limbombe",23,73,76,4,"Attacker",5e+06,20000,4,326,360,402,350,276,5
"S. Lammers",21,73,82,NA,"Attacker",6e+06,8000,3,332,297,347,353,297,5
"O. Niasse",28,73,73,NA,"Attacker",4100000,40000,3,335,282,355,359,301,3
"A. Peñaranda",21,73,81,4,"Attacker",6e+06,30000,3,341,341,366,309,322,3
"A. Regattin",26,73,73,1,"Attacker",4300000,15000,3,325,371,396,339,348,3
"M. van Buren",25,73,74,2,"Attacker",4800000,1000,3,342,314,376,349,276,4
"P. Chavarría",30,73,73,0,"Attacker",3900000,15000,3,346,322,357,369,306,4
"J. Savarino",21,73,82,2,"Attacker",6e+06,7000,4,309,327,406,336,284,4
"L. Garritano",24,73,76,NA,"Attacker",5e+06,4000,4,327,354,414,334,287,3
"V. Muriqi",24,73,77,1,"Attacker",5500000,10000,3,310,271,279,355,273,4
"Licá",29,73,73,1,"Attacker",3900000,8000,4,332,341,372,344,331,3
"J. Cristaldo",29,73,73,3,"Attacker",4e+06,20000,3,343,314,378,342,311,4
"P. Olayinka",22,73,80,3,"Attacker",5500000,1000,3,331,284,368,371,306,3
"A. Sørloth",22,73,79,NA,"Attacker",5500000,15000,3,349,310,317,357,294,4
"M. Jensen",30,73,73,2,"Attacker",3700000,8000,3,329,354,370,370,353,4
"M. Pisano",26,73,73,4,"Attacker",4300000,3000,4,301,358,401,301,273,3
"S. Villa",22,73,82,4,"Attacker",6e+06,15000,3,283,302,409,305,281,3
"K. Schindler",24,73,74,0,"Attacker",4800000,10000,3,314,292,385,354,289,4
"E. Paredes",37,73,73,0,"Attacker",1200000,7000,3,347,347,330,354,303,3
"İ. Köybaşı",28,73,73,0,"Attacker",3200000,40000,3,324,363,384,361,313,2
"Juan Villar",30,73,73,2,"Attacker",3900000,10000,3,338,351,410,375,319,4
"A. Ramos",32,73,73,1,"Attacker",3200000,10000,3,350,307,368,361,311,3
"B. Reid",25,73,75,3,"Attacker",5e+06,40000,3,344,335,410,354,320,3
"Bobô",33,73,73,1,"Attacker",2500000,15000,3,356,292,339,360,308,3
"D. Ba",33,73,73,1,"Attacker",2500000,20000,3,346,351,324,357,342,3
"L. Fer",28,73,73,0,"Attacker",4e+06,20000,3,351,314,330,401,355,4
"Arsénio",28,73,73,0,"Attacker",4e+06,8000,3,312,348,361,312,283,3
"D. Rossi",20,73,83,1,"Attacker",6500000,7000,4,319,310,403,322,268,4
"N. Pasquini  B",27,73,73,2,"Attacker",3300000,15000,3,318,366,381,365,346,3
"M. Oršić",25,73,74,3,"Attacker",4800000,1000,3,317,361,418,338,285,4
"A. Maitland-NilesB",20,73,84,4,"Attacker",6e+06,40000,3,293,315,389,326,318,3
"Djalma",31,73,73,1,"Attacker",3500000,15000,3,329,351,380,369,306,3
"M. Djenepo",20,73,84,0,"Attacker",7e+06,10000,3,321,333,419,347,269,3
"P. Nakoulma",31,73,73,2,"Attacker",3600000,15000,3,299,296,400,372,302,3
"B. Sigurðarson",27,73,73,NA,"Attacker",0,0,3,338,301,390,385,321,4
"Welthon",26,73,74,3,"Attacker",4800000,10000,4,340,354,362,369,316,3
"C. Menéndez",30,73,73,4,"Attacker",3900000,9000,3,317,287,335,373,326,3
"W. Bou",24,73,76,4,"Attacker",5e+06,4000,3,340,308,355,369,240,2
"F. Melchiorri",31,73,73,1,"Attacker",3600000,5000,3,317,266,349,360,266,4
