"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Weak.foot","Total.attacking","Total.skill","Total.movement","Total.power","Total.mentality","Total.defending"
"J. Valdivia",34,75,75,0,"Midfielder",3400000,9000,4,4,328,362,338,320,324,98
"L. Schaub",23,75,80,3,"Midfielder",9e+06,20000,3,3,320,354,383,337,300,113
"Gabrisco Aníbal",26,75,75,2,"Midfielder",6e+06,20000,2,3,311,313,341,371,341,224
"D. Chará",32,75,75,0,"Midfielder",3800000,8000,3,4,285,338,387,361,354,219
"A. Grassi",23,75,82,NA,"Midfielder",9e+06,30000,2,3,326,350,344,328,346,196
"D. Torres",28,75,75,NA,"Midfielder",5500000,9000,3,3,298,319,316,370,364,217
"A. Maier",19,75,87,3,"Midfielder",11500000,10000,3,3,269,318,360,333,297,210
"A. Mounier",30,75,75,1,"Midfielder",6500000,2000,3,2,350,367,384,324,312,98
"C. Coady",25,75,78,4,"Midfielder",7e+06,50000,2,3,312,329,269,354,336,227
"S. Cristóforo",24,75,79,NA,"Midfielder",7500000,15000,3,3,272,308,356,352,340,219
"Allan Bardinho",26,75,75,2,"Midfielder",7e+06,20000,4,4,314,341,363,298,304,88
"Ailton Guevara",26,75,75,2,"Midfielder",7e+06,15000,4,3,353,367,365,348,307,63
"O. Akhmedov",30,75,75,0,"Midfielder",6e+06,15000,3,3,318,332,352,388,350,214
"Y. Ayoub",24,75,79,3,"Midfielder",8500000,10000,3,3,339,371,378,328,355,207
"A. Ring",27,75,76,3,"Midfielder",6500000,8000,3,3,323,351,371,368,342,221
"L. Aued",31,75,75,0,"Midfielder",5500000,10000,3,3,342,356,315,358,350,199
"Kaku",23,75,82,2,"Midfielder",9500000,8000,4,3,294,362,400,329,299,147
"Gedson Fernandes",19,75,85,4,"Midfielder",10500000,6000,3,3,335,361,385,381,351,218
"O. Martínez",32,75,75,0,"Midfielder",5e+06,20000,3,4,328,371,361,368,363,174
"N. Chalobah",23,75,80,3,"Midfielder",7500000,40000,3,3,315,318,337,355,330,217
"Florentino",18,75,87,5,"Midfielder",9500000,5000,3,2,253,285,347,318,315,229
"A. Katai",27,75,75,0,"Midfielder",7e+06,9000,4,4,350,376,340,359,316,125
"Adilson Edrada",26,75,75,2,"Midfielder",7e+06,20000,3,3,336,333,386,317,310,92
"J. Kurtić",29,75,75,3,"Midfielder",6500000,15000,3,3,344,364,333,382,363,212
"M. Pereira",34,75,75,0,"Midfielder",1900000,10000,2,3,326,339,358,340,358,236
"C. Budescu",29,75,75,2,"Midfielder",6500000,30000,3,3,331,391,326,319,336,145
"M. Fritzler",31,75,75,1,"Midfielder",4500000,10000,2,3,268,304,303,344,342,220
"S. Prcić",24,75,79,NA,"Midfielder",8500000,15000,3,4,316,373,336,335,343,214
"Leonardo",31,75,75,3,"Midfielder",6e+06,20000,4,4,334,369,374,351,312,68
"N. Vukčević",26,75,78,3,"Midfielder",7e+06,20000,3,3,282,329,312,366,345,216
"B. Schweinsteiger",33,75,75,0,"Midfielder",2700000,8000,3,3,362,384,267,356,372,215
"L. Cigarini",32,75,75,1,"Midfielder",5e+06,30000,3,4,332,381,336,325,343,201
"R. Thomas",23,75,80,3,"Midfielder",9e+06,15000,3,4,277,358,381,350,351,175
"M. Jensen",22,75,81,4,"Midfielder",9e+06,20000,3,4,304,351,388,362,342,193
"D. Valdés",24,75,79,0,"Midfielder",8500000,20000,4,3,333,359,370,366,310,144
"D. Nagbe",27,75,75,0,"Midfielder",7e+06,9000,4,3,322,370,401,361,314,181
"Xeka",23,75,81,3,"Midfielder",8e+06,20000,4,4,284,372,305,364,333,206
"P. Mantalos",26,75,75,3,"Midfielder",7e+06,2000,3,4,334,371,367,331,322,141
"Sergio Tejera",28,75,75,1,"Midfielder",6500000,10000,3,2,321,374,341,357,368,209
"Y. Benzia",23,75,80,NA,"Midfielder",9e+06,50000,4,4,346,371,357,347,344,117
"M. Jajalo",30,75,75,0,"Midfielder",6e+06,5000,3,3,330,378,346,380,344,211
"S. Taïder",26,75,75,NA,"Midfielder",7e+06,9000,4,3,349,365,347,375,357,194
"G. Kanga",27,75,75,1,"Midfielder",7e+06,2000,4,4,308,362,406,350,328,151
"Jorginhson",26,75,75,2,"Midfielder",6e+06,15000,2,4,293,353,375,299,341,231
"Renato Sanches",20,75,84,2,"Midfielder",1e+07,40000,3,4,333,351,394,403,364,207
"P. Capelle",31,75,75,2,"Midfielder",6e+06,20000,3,4,351,375,369,364,356,204
"T. Davies",20,75,83,4,"Midfielder",1e+07,50000,3,3,309,346,350,326,341,199
"J. Toornstra",29,75,75,3,"Midfielder",6500000,15000,3,3,366,367,345,374,323,176
"S. Larsson",25,75,76,2,"Midfielder",8e+06,15000,5,2,314,387,377,342,297,96
"Eraso",28,75,75,1,"Midfielder",6500000,30000,3,3,334,338,300,370,353,168
"İ. Kahveci",22,75,80,2,"Midfielder",9e+06,20000,4,4,322,382,379,339,329,174
"P. Foden",18,75,90,5,"Midfielder",13500000,40000,4,3,305,353,394,295,313,161
"A. El Khayati",29,75,75,1,"Midfielder",6500000,10000,4,4,331,373,352,363,320,110
"Dani Rochelinhas",26,75,75,2,"Midfielder",7e+06,15000,4,3,316,367,376,293,322,91
"L. Deaux",29,75,75,1,"Midfielder",5e+06,20000,2,2,286,303,291,352,333,219
"M. Rits",24,75,78,3,"Midfielder",8500000,20000,3,5,320,350,350,335,350,216
"M. Diamé",31,75,75,0,"Midfielder",5500000,40000,3,3,344,317,346,385,360,223
"Toni Villa",23,75,81,2,"Midfielder",9e+06,15000,4,4,305,347,399,282,285,153
"G. Til",20,75,82,4,"Midfielder",9500000,10000,3,3,323,334,361,350,344,178
"C. McGregor",25,75,78,4,"Midfielder",7e+06,40000,4,4,308,355,401,350,346,212
"V. Buyalskyi",25,75,78,4,"Midfielder",8e+06,2000,3,4,297,321,392,304,315,208
"V. Eysseric",26,75,75,NA,"Midfielder",7e+06,30000,3,4,350,383,352,331,322,120
"S. Sturaro",25,75,78,2,"Midfielder",8e+06,15000,3,3,342,356,357,379,371,231
"A. Duncan",25,75,78,3,"Midfielder",8e+06,40000,3,3,328,333,368,387,344,226
"Thiago Maia",21,75,82,3,"Midfielder",8e+06,20000,3,3,300,322,336,362,333,220
"Rubén Alcaraz",27,75,75,3,"Midfielder",7e+06,20000,3,4,312,378,311,394,368,220
"D. Cataldi",23,75,79,1,"Midfielder",8500000,30000,3,3,340,381,361,338,337,204
"Recio",27,75,75,3,"Midfielder",7e+06,30000,3,3,313,363,298,346,381,210
"L. Rigoni",33,75,75,2,"Midfielder",3900000,40000,3,3,333,329,330,370,343,213
"J. Haberer",24,75,78,1,"Midfielder",8500000,20000,3,3,315,349,334,349,332,172
"Merino",22,75,84,4,"Midfielder",1e+07,20000,3,3,332,365,317,344,352,197
"S. Missiroli",32,75,75,2,"Midfielder",5e+06,15000,3,3,339,350,306,331,346,201
"V. Guzmán",23,75,80,4,"Midfielder",9e+06,20000,3,3,339,351,372,372,344,203
"D. Biseswar",30,75,75,3,"Midfielder",6500000,2000,3,3,318,382,376,347,267,89
"Zeca",29,75,75,2,"Midfielder",6500000,20000,3,3,321,339,385,354,351,218
"D. Gosling",28,75,75,2,"Midfielder",6500000,60000,3,3,341,335,317,352,355,208
"S. Serdar",21,75,82,3,"Midfielder",9e+06,20000,3,3,311,311,349,362,344,210
"K. Traoré",26,75,75,NA,"Midfielder",0,0,4,3,316,367,376,293,322,91
"Melero",24,75,81,1,"Midfielder",8e+06,15000,3,3,330,353,323,352,369,219
"I. Amadou",25,75,80,3,"Midfielder",7500000,15000,3,3,254,272,349,370,314,220
"S. McTominay",21,75,83,4,"Midfielder",8500000,60000,3,3,327,306,311,365,342,215
"B. Pearson",23,75,81,2,"Midfielder",8e+06,10000,3,3,260,295,353,360,332,222
"B. Kamara",18,75,88,1,"Midfielder",10500000,15000,3,3,260,313,354,299,321,226
"D. Brasanac",26,75,76,NA,"Midfielder",7500000,20000,3,3,314,330,326,357,370,215
"S. İnan",33,75,75,1,"Midfielder",3900000,50000,3,3,349,398,289,352,349,193
"F. Magnanelli",33,75,75,3,"Midfielder",2700000,40000,2,3,299,322,331,328,344,229
"Mosquera",30,75,75,2,"Midfielder",4900000,10000,3,3,310,362,300,341,347,214
"V. Claesson",26,75,76,NA,"Midfielder",0,0,3,3,315,347,361,349,319,132
"L. Acosta",24,75,77,0,"Midfielder",8e+06,8000,5,3,320,358,413,320,308,127
"M. Fabián",28,75,75,2,"Midfielder",6500000,9000,4,4,360,380,365,351,315,92
"F. Montero",30,75,75,1,"Midfielder",6500000,10000,4,4,372,378,370,348,334,127
"J. Vázquez",30,75,75,3,"Midfielder",4900000,20000,2,3,277,317,389,353,328,224
"L. Miranda",24,75,80,0,"Midfielder",9e+06,10000,3,3,325,362,392,342,331,201
"Y. Sankharé",28,75,75,2,"Midfielder",6500000,40000,3,3,360,334,325,370,355,215
"M. Fernández",32,75,75,4,"Midfielder",5e+06,5000,5,4,334,396,362,348,330,174
"D. Rodríguez",28,75,75,4,"Midfielder",5500000,20000,2,3,286,319,344,377,314,230
"Kwon Chang Hoon",24,75,78,2,"Midfielder",8500000,15000,4,3,348,361,389,321,332,148
"M. Wolff Eikrem",27,75,75,3,"Midfielder",7e+06,9000,3,4,344,374,358,281,297,143
"Fran Beltrán",19,75,83,4,"Midfielder",8e+06,9000,3,3,306,334,372,308,332,232
"A. Surman",31,75,75,1,"Midfielder",5500000,50000,3,4,324,350,318,343,348,195
"S. Sensi",22,75,80,1,"Midfielder",7500000,30000,3,4,280,385,346,327,359,209
"J. Ferri",26,75,76,NA,"Midfielder",7500000,20000,3,2,311,344,365,362,349,199
"A. Umar",23,75,80,1,"Midfielder",9e+06,15000,4,3,304,327,420,349,331,164
"O. Zinchenko",21,75,84,5,"Midfielder",9e+06,60000,3,3,339,380,374,344,352,223
"J. Aholou",24,75,81,4,"Midfielder",8e+06,40000,3,3,300,309,346,335,322,228
"Rubén Pardo",25,75,78,1,"Midfielder",8e+06,20000,3,4,298,372,350,320,342,189
"D. Türüç",25,75,76,1,"Midfielder",8e+06,15000,4,4,320,393,382,358,340,167
"José Cañas",31,75,75,0,"Midfielder",4500000,2000,2,3,239,291,307,318,335,218
"N. Stanciu",25,75,78,2,"Midfielder",8500000,30000,3,4,352,385,364,341,313,85
"Z. Labyad",25,75,77,3,"Midfielder",8e+06,15000,4,5,342,389,376,356,282,100
"E. Insúa B",29,75,75,1,"Midfielder",5e+06,30000,3,2,340,349,342,387,359,214
"Nuno Coelho",30,75,75,2,"Midfielder",4900000,8000,2,3,273,294,321,330,307,221
"Carles Gil",25,75,76,3,"Midfielder",8e+06,9000,4,4,328,371,352,308,297,118
"D. González",30,75,75,0,"Midfielder",6e+06,20000,3,3,321,315,335,383,356,203
"P. Lasne  B",29,75,75,2,"Midfielder",6500000,20000,3,3,355,358,345,378,346,217
"L. González Pirez",26,75,78,0,"Midfielder",7e+06,8000,2,3,265,306,336,340,329,220
"Sergio Álvarez",26,75,78,3,"Midfielder",7e+06,20000,3,3,304,323,341,392,335,210
"H. Barnes",20,75,85,5,"Midfielder",1.1e+07,40000,3,4,304,340,383,331,286,139
"T. Serero",28,75,75,1,"Midfielder",6500000,15000,3,4,271,333,410,278,331,196
"J. Hogg",29,75,75,2,"Midfielder",5e+06,40000,3,3,301,291,342,340,323,227
"O. Alonso",32,75,75,2,"Midfielder",3800000,8000,2,4,317,343,338,361,346,216
"Medrán",24,75,79,NA,"Midfielder",8500000,15000,3,4,327,374,334,340,326,190
"R. Tapia",22,74,79,NA,"Midfielder",6500000,8000,3,4,304,344,345,365,343,218
"F. Midtsjø",24,74,77,3,"Midfielder",7e+06,10000,3,3,324,340,384,365,336,200
"B. Dabo",26,74,75,2,"Midfielder",6500000,40000,4,3,335,341,344,385,356,219
"P. De Blasis",30,74,74,1,"Midfielder",5500000,20000,3,4,349,358,411,355,316,131
"Iuri Medeiros",23,74,77,NA,"Midfielder",7e+06,9000,4,3,336,392,395,311,306,93
"Lucas Evangelista",23,74,78,4,"Midfielder",7e+06,20000,3,3,318,353,356,324,329,200
"Pedro Sá",24,74,78,4,"Midfielder",6e+06,8000,2,2,264,316,348,363,308,212
"Lucas Torró",23,74,81,4,"Midfielder",7e+06,20000,2,3,299,316,293,309,311,212
"R. Álvarez",30,74,74,3,"Midfielder",5500000,20000,4,2,356,381,320,360,323,147
"R. Petrović",29,74,74,1,"Midfielder",4400000,10000,2,2,274,274,231,343,322,215
"G. Chakvetadze",18,74,85,3,"Midfielder",9e+06,9000,3,3,313,357,397,342,264,102
"Edercinho Sepa",30,74,74,2,"Midfielder",4200000,20000,2,3,327,335,368,373,335,225
"Pascoal Muscato",26,74,74,2,"Midfielder",4900000,15000,2,4,321,341,317,376,339,219
"J. Durmaz",29,74,74,0,"Midfielder",5500000,30000,3,4,308,379,368,324,309,105
"V. Cantillo",24,74,80,2,"Midfielder",6500000,4000,3,2,233,300,335,317,311,202
"Anselmo",29,74,74,3,"Midfielder",4400000,20000,3,2,303,298,343,357,333,224
"Y. Öztekin",31,74,74,1,"Midfielder",4900000,20000,3,3,328,349,388,353,312,138
"P. Klement",25,74,75,1,"Midfielder",6500000,10000,3,3,316,378,374,338,317,101
"P. Roberts",21,74,82,NA,"Midfielder",8500000,20000,4,3,303,343,397,269,268,74
"Caio Milaçar",34,74,74,2,"Midfielder",2800000,20000,4,4,322,342,369,282,301,79
"K. Olsson",23,74,79,NA,"Midfielder",0,0,4,3,308,359,382,330,325,178
"R. Jack",26,74,77,2,"Midfielder",6e+06,40000,3,3,278,321,339,348,324,213
"I. Hayden",23,74,81,2,"Midfielder",7e+06,30000,2,4,267,292,309,342,325,217
"Elias Fontoira",34,74,74,2,"Midfielder",1700000,20000,3,3,345,372,351,355,355,220
"L. Crisetig",25,74,77,NA,"Midfielder",7e+06,6000,3,3,299,344,309,362,333,200
"A. Pritchard",25,74,77,2,"Midfielder",7e+06,40000,3,4,317,376,367,287,324,142
"Gerson",21,74,82,NA,"Midfielder",8e+06,30000,3,2,307,364,369,311,317,187
"T. Adams B",19,74,86,4,"Midfielder",8500000,15000,3,3,266,303,398,330,337,213
"T. Koopmeiners",20,74,82,3,"Midfielder",7e+06,10000,3,3,346,351,349,381,359,215
"G. Svensson",31,74,74,0,"Midfielder",3800000,8000,3,2,268,291,265,348,314,214
"P. Billing",22,74,83,1,"Midfielder",8500000,30000,2,3,344,371,305,360,323,223
"R. Bazoer",21,74,82,NA,"Midfielder",8e+06,10000,3,4,336,335,373,365,323,200
"R. Yabo",26,74,74,3,"Midfielder",6e+06,15000,4,4,313,320,394,355,328,187
"C. Fuchs",32,74,74,1,"Midfielder",3100000,50000,3,2,364,383,298,367,365,226
"E. Kalinski",31,74,74,2,"Midfielder",4800000,15000,3,4,304,346,336,365,329,207
"P. Hrošovský",26,74,75,2,"Midfielder",6500000,1000,3,3,297,316,347,312,321,197
"J. Obi",27,74,74,NA,"Midfielder",6e+06,15000,3,3,334,336,399,356,359,219
"C. Hourihane",27,74,74,3,"Midfielder",6e+06,20000,3,4,334,360,359,381,348,195
"C. Jallet",34,74,74,0,"Midfielder",1600000,20000,3,3,342,361,354,349,356,223
"O. Pineda",22,74,82,0,"Midfielder",8e+06,20000,3,4,318,348,418,355,333,187
"P. Kunde Malong",22,74,80,3,"Midfielder",6500000,20000,3,4,310,320,370,396,334,205
"A. Song",30,74,74,1,"Midfielder",4200000,20000,3,3,304,314,320,319,352,214
"R. Ortiz",28,74,74,NA,"Midfielder",0,0,3,2,289,327,361,369,355,207
"Fábio Melitinho",34,74,74,2,"Midfielder",2800000,20000,3,5,334,380,331,309,295,74
"N. Benedetti",21,74,85,3,"Midfielder",9500000,40000,4,3,294,334,372,325,287,133
"H. Canteros",29,74,74,1,"Midfielder",5500000,20000,3,3,320,374,343,373,357,209
"A. Ioniţă",27,74,74,2,"Midfielder",6e+06,30000,3,4,342,349,345,384,361,219
"F. Viviani",26,74,75,NA,"Midfielder",5500000,15000,3,4,339,381,359,377,346,214
"Seoane",35,74,74,2,"Midfielder",1300000,7000,3,3,284,290,304,364,338,208
"C. Pizarro",39,74,74,1,"Midfielder",1600000,20000,4,4,364,369,269,336,341,93
"Ivo",31,74,74,1,"Midfielder",4800000,15000,3,3,335,384,348,334,334,125
"Iñigo Pérez",30,74,74,3,"Midfielder",4200000,10000,2,3,324,374,344,379,316,215
"A. Ruiz",24,74,77,NA,"Midfielder",7500000,10000,4,2,371,384,334,360,307,93
"D. Kreilach",29,74,74,4,"Midfielder",5500000,9000,3,3,327,358,307,413,344,190
"A. Ciciretti",24,74,75,NA,"Midfielder",7e+06,5000,4,4,322,365,394,283,279,96
"K. Phillips",22,74,80,2,"Midfielder",6500000,30000,3,3,316,327,339,386,343,212
"Marlon Nideiro",34,74,74,2,"Midfielder",2800000,20000,4,3,326,351,414,282,289,90
"Jacson Zonta",34,74,74,2,"Midfielder",2800000,15000,3,4,313,367,371,307,314,74
"Moisés",30,74,74,3,"Midfielder",5e+06,15000,3,3,334,357,325,372,353,198
"B. Zungu",25,74,77,2,"Midfielder",6e+06,15000,3,2,341,360,331,358,352,208
"Leo Caldeirinha",34,74,74,2,"Midfielder",2800000,15000,4,3,358,369,367,359,296,71
"B. Zuculini",25,74,77,3,"Midfielder",6e+06,15000,3,3,309,317,338,341,355,209
"Alvildo Sousa",34,74,74,2,"Midfielder",2800000,15000,4,3,343,353,348,354,299,79
"J. van der Heijden",30,74,74,1,"Midfielder",4200000,10000,3,3,303,374,280,371,343,220
"F. Đuričić",26,74,75,3,"Midfielder",6500000,40000,4,4,320,371,379,325,298,123
"G. İnler",34,74,74,1,"Midfielder",1700000,20000,2,5,336,350,271,358,357,222
"Robson Denho",26,74,74,2,"Midfielder",4900000,15000,2,3,291,350,321,348,373,224
"Renatinho",29,74,74,NA,"Midfielder",5500000,20000,3,3,336,373,403,380,265,105
"Claudiano Sobrino",34,74,74,2,"Midfielder",1700000,15000,2,4,323,337,389,346,355,207
"Serey Dié",33,74,74,NA,"Midfielder",2300000,8000,3,3,285,324,360,344,335,219
"Bojan",27,74,74,1,"Midfielder",6e+06,8000,4,4,328,367,377,279,274,70
"João Schmidt",25,74,76,NA,"Midfielder",7e+06,8000,3,3,331,378,296,376,356,209
"G. Bong",30,74,74,1,"Midfielder",4100000,40000,3,3,253,311,339,323,314,231
"J. Geis",24,74,77,0,"Midfielder",6e+06,15000,2,3,343,377,293,380,364,214
"M. Mount",19,74,86,NA,"Midfielder",1e+07,20000,3,4,330,376,368,304,284,118
"K. Möhwald",24,74,77,2,"Midfielder",7e+06,20000,3,2,342,371,346,368,293,165
"S. Larsson",33,74,74,1,"Midfielder",3300000,10000,3,3,360,379,323,367,355,193
"G. Shinnie",26,74,75,0,"Midfielder",5500000,8000,3,4,271,321,389,354,335,216
"Edvaldisco",26,74,74,2,"Midfielder",4900000,20000,2,3,328,322,352,335,318,215
"S. Arfield",29,74,74,2,"Midfielder",5500000,40000,3,3,334,351,356,355,338,188
"A. Christiansen",28,74,74,3,"Midfielder",5500000,8000,4,3,325,355,389,368,353,194
"A. González",23,74,79,1,"Midfielder",7500000,30000,3,3,348,366,384,369,325,195
"Iván Alejo",23,74,78,NA,"Midfielder",7500000,9000,3,3,328,361,357,338,268,129
"N. De Préville",27,74,74,2,"Midfielder",6e+06,40000,3,3,360,363,379,345,340,90
"E. Buendía",21,74,81,5,"Midfielder",8e+06,20000,3,3,341,356,381,293,323,178
"Pozo",22,74,81,4,"Midfielder",8e+06,15000,3,4,338,359,367,307,285,163
"N. Rigoni",27,74,74,0,"Midfielder",6e+06,15000,3,3,303,347,299,349,326,195
"R. Christie",23,74,79,3,"Midfielder",7500000,40000,3,4,314,345,387,380,336,191
"Walace",23,74,80,3,"Midfielder",6500000,20000,3,3,323,323,333,356,342,197
"R. Krunić",24,74,79,2,"Midfielder",7500000,10000,3,3,356,368,354,374,334,198
"E. Gnahoré",24,74,79,NA,"Midfielder",7500000,15000,3,3,319,347,336,361,335,194
"R. Sobhi",21,74,79,NA,"Midfielder",0,0,4,4,332,361,353,321,307,134
"J. Błaszczykowski",32,74,74,1,"Midfielder",4400000,8000,3,4,341,359,365,343,337,187
"D. Kourmpelis",24,74,79,1,"Midfielder",6500000,1000,3,3,255,308,346,352,302,222
"Nicolás Formido",30,74,74,2,"Midfielder",5500000,20000,4,4,332,379,359,343,325,68
"H. Wolf",19,74,85,1,"Midfielder",9500000,15000,4,3,318,357,390,329,299,94
"J. Ramírez",25,74,75,4,"Midfielder",6500000,15000,3,3,313,348,373,307,346,195
"Ilie Sánchez",27,74,74,2,"Midfielder",4700000,8000,3,3,275,317,327,342,330,202
"A. Chumacero",27,74,74,4,"Midfielder",6e+06,9000,3,3,344,339,384,372,353,188
"Fábio Martins",24,74,75,3,"Midfielder",7e+06,10000,4,3,345,360,389,363,326,137
"M. Jojić",26,74,75,2,"Midfielder",6500000,20000,3,3,354,374,362,357,347,164
"B. Verstraete",24,74,78,1,"Midfielder",6e+06,15000,3,3,302,341,370,372,359,210
"A. Browne",23,74,79,2,"Midfielder",7500000,10000,3,4,354,297,369,400,372,209
"X. Chavalerin",27,74,74,3,"Midfielder",4700000,15000,3,3,310,351,355,335,335,204
"Timor",28,74,74,3,"Midfielder",5500000,10000,3,3,298,371,291,388,355,207
"H. Arter",28,74,74,NA,"Midfielder",5500000,40000,3,5,323,352,340,356,366,205
"Bruno Saltor",37,74,74,0,"Midfielder",275000,30000,3,3,304,336,312,286,325,238
"M. Stendera",22,74,79,1,"Midfielder",7500000,20000,3,4,329,380,355,328,324,177
"V. Shepelev",21,74,83,1,"Midfielder",7500000,1000,2,3,242,272,326,288,303,215
"B. Dack",24,74,78,2,"Midfielder",7500000,30000,3,4,334,365,381,349,348,147
"M. Ekici",28,74,74,1,"Midfielder",5500000,50000,3,5,339,393,337,345,351,155
"Fábio Espinho",32,74,74,1,"Midfielder",4400000,9000,4,3,332,363,382,337,346,184
"J. Barrera",22,74,83,3,"Midfielder",8500000,5000,4,4,302,345,405,317,280,140
"R. Botta",28,74,74,1,"Midfielder",5500000,20000,4,3,315,368,378,343,300,112
"J. Hušbauer",28,74,74,1,"Midfielder",5500000,1000,3,4,344,362,329,348,326,178
"R. Amalfitano",28,74,74,2,"Midfielder",5500000,15000,3,4,272,339,344,280,354,212
"Anuar",23,74,82,1,"Midfielder",7e+06,15000,3,3,286,293,382,338,309,218
"F. Haroun",32,74,74,1,"Midfielder",3200000,10000,3,3,323,334,296,367,368,211
"A. Poko",25,74,75,2,"Midfielder",5500000,20000,3,3,288,309,373,342,356,207
"J. Ralls",24,74,77,3,"Midfielder",7e+06,30000,3,2,312,359,340,325,358,211
"Unai López",22,74,80,3,"Midfielder",7500000,15000,3,3,328,374,392,341,328,188
"Adrián González",30,74,74,2,"Midfielder",5e+06,10000,3,3,348,370,343,355,371,209
"P. Schwegler",31,74,74,1,"Midfielder",3800000,30000,3,4,337,352,306,362,348,218
"G. Giménez",26,74,74,2,"Midfielder",6e+06,15000,4,3,332,361,325,358,326,189
"Mikel Rico",33,74,74,0,"Midfielder",3300000,20000,2,4,300,320,322,378,359,221
"O. Hiljemark",26,74,75,1,"Midfielder",6500000,15000,3,3,302,367,339,380,337,182
"J. McGinn",23,74,79,5,"Midfielder",7500000,15000,3,4,328,351,375,385,337,206
"V. Vada",22,74,80,NA,"Midfielder",7500000,20000,3,4,334,367,350,323,337,197
"G. Cimirot",25,74,76,3,"Midfielder",7e+06,15000,3,3,320,346,362,357,343,208
"J. Gondorf",30,74,74,2,"Midfielder",5e+06,20000,3,4,326,363,365,389,350,209
"R. Ghezzal",26,74,74,3,"Midfielder",6e+06,50000,4,3,332,379,359,326,290,72
"A. Bedoya",31,74,74,2,"Midfielder",4800000,8000,3,4,343,323,347,372,354,184
"João Teixeira",25,74,76,2,"Midfielder",7e+06,10000,3,3,290,338,365,317,271,109
"I. Chochev",25,74,77,1,"Midfielder",7e+06,5000,3,4,336,345,320,374,339,205
"M. Valdifiori",32,74,74,1,"Midfielder",3200000,10000,3,3,326,379,305,319,332,203
"L. Gamba",31,74,74,3,"Midfielder",5e+06,15000,3,3,329,348,421,360,266,73
"Aleix García",21,74,85,NA,"Midfielder",9500000,20000,3,3,318,363,363,323,309,177
"A. N'Diaye",28,74,74,NA,"Midfielder",5500000,10000,3,3,308,302,348,374,350,215
"M. Guendouzi",19,74,86,4,"Midfielder",9500000,30000,3,3,315,352,349,351,327,206
"Tarantini",34,74,74,1,"Midfielder",2700000,10000,3,3,348,340,287,346,366,202
"K. McDonald",29,74,74,1,"Midfielder",4400000,40000,3,4,304,331,285,350,325,211
"Douglas Luiz",20,74,84,NA,"Midfielder",9e+06,20000,3,2,326,350,361,359,311,210
"S. Davis",33,74,74,NA,"Midfielder",3300000,40000,3,3,326,366,335,320,344,193
"P. Diop",20,74,83,3,"Midfielder",8500000,30000,3,3,262,321,360,348,339,198
"D. Drexler",28,74,74,3,"Midfielder",5500000,20000,3,3,316,335,388,299,264,108
"V. Verre",24,74,79,NA,"Midfielder",7500000,5000,3,4,350,364,368,358,348,195
"J. Sánchez Miño",28,74,74,1,"Midfielder",4400000,15000,4,2,352,376,355,365,359,211
"A. Ricaurte",26,74,74,0,"Midfielder",6e+06,5000,3,3,302,356,335,340,341,196
"L. Zelarayán",26,74,75,4,"Midfielder",6500000,40000,3,3,327,373,380,348,308,128
"D. Glushakov",31,74,74,1,"Midfielder",3800000,2000,3,3,352,332,358,391,371,205
"S. Kittel",25,74,75,3,"Midfielder",6500000,20000,4,5,332,372,381,331,274,85
"F. Bachirou",28,74,74,3,"Midfielder",4600000,8000,3,3,249,330,409,307,337,207
"B. Alemán",28,74,74,2,"Midfielder",5500000,30000,3,3,338,381,360,368,357,195
"R. Cohade",33,74,74,1,"Midfielder",3300000,8000,3,3,330,371,318,339,352,210
"H. Medunjanin",33,74,74,0,"Midfielder",3300000,8000,4,4,324,385,290,370,337,189
"N. Zaniolo",18,74,89,5,"Midfielder",11500000,20000,3,3,305,332,367,333,326,168
"B. Mensah",23,74,81,NA,"Midfielder",8e+06,10000,4,3,316,363,370,337,335,172
"A. Tameze",24,74,78,2,"Midfielder",7e+06,20000,3,3,289,316,350,343,333,220
"Samu Saiz",27,74,74,NA,"Midfielder",6e+06,20000,4,3,309,375,376,335,291,66
"L. Krejčí",25,74,74,1,"Midfielder",6e+06,30000,4,2,323,377,386,350,327,146
"A. Dioussé",20,73,81,NA,"Midfielder",6e+06,10000,3,3,256,333,357,317,317,200
"André Martins",28,73,73,1,"Midfielder",4e+06,10000,3,3,314,373,414,295,329,160
"D. Nistor",30,73,73,NA,"Midfielder",0,0,3,5,314,352,391,373,353,193
"Vesga",25,73,75,NA,"Midfielder",4800000,20000,3,3,281,301,267,344,329,202
"A. Acquah",26,73,73,0,"Midfielder",4200000,10000,3,2,309,322,385,376,356,222
"M. Krohn-Dehli",35,73,73,0,"Midfielder",1700000,7000,3,4,318,377,354,327,367,192
"Zubeldia",21,73,80,5,"Midfielder",4800000,15000,3,3,304,347,320,333,333,199
"P. Kasami",26,73,74,1,"Midfielder",4700000,30000,3,4,335,338,319,377,348,160
"Bruno Lamas",24,73,78,2,"Midfielder",5500000,5000,3,3,289,355,332,338,316,160
"G. Di Lorenzo  B",24,73,74,3,"Midfielder",4800000,10000,3,3,354,357,364,368,337,220
"N. Acevedo",29,73,73,1,"Midfielder",3800000,15000,3,4,288,316,341,381,316,223
"D. Bessa",25,73,75,NA,"Midfielder",4800000,15000,4,4,324,366,366,317,304,152
"Luca Sangalli",23,73,78,3,"Midfielder",5500000,20000,3,3,316,323,371,326,301,180
