"","Name","Age","Overall rating","Potential","Team & Contract","ID","Height","Weight","foot","Best overall","Best position","Growth","Joined","Loan date end","Value","Wage","Release clause","Total attacking","Crossing","Finishing","Heading accuracy","Short passing","Volleys","Total skill","Dribbling","Curve","FK Accuracy","Long passing","Ball control","Total movement","Acceleration","Sprint speed","Agility","Reactions","Balance","Total power","Shot power","Jumping","Stamina","Strength","Long shots","Total mentality","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Total defending","Marking","Standing tackle","Sliding tackle","Total goalkeeping","GK Diving","GK Handling","GK Kicking","GK Positioning","GK Reflexes","Total stats","Base stats","Weak foot","Skill moves","Attacking work rate","Defensive work rate","International reputation","Body type","Pace / Diving","Shooting / Handling","Passing / Kicking","Dribbling / Reflexes","Defending / Pace","Physical / Positioning"
"","L. BoyéLM ST CAM",22,73,81,"AEK Athens
2016 ~ 2020",222041,"183cm / 6'0""","80kg / 176lbs","Right",73,"RW",8,"Jul 1, 2016","N/A","€6M","€1K","€14.4M",334,60,66,69,74,65,320,80,65,36,58,81,355,75,70,72,69,69,349,71,69,68,78,63,306,70,30,69,71,66,70,116,50,36,30,54,14,7,11,15,7,1834,398,2,3,"Medium","Medium",1,"Normal (170-185)",72,67,66,78,42,73
"","G. ToledoRB",28,73,73,"Colón
2018 ~ 2021",223065,"175cm / 5'9""","72kg / 159lbs","Right",72,"RWB",0,"Jul 26, 2018","N/A","€3.2M","€10K","€4.7M",258,68,43,52,68,27,267,73,37,25,63,69,385,85,81,76,75,68,350,66,77,86,66,55,304,62,70,67,68,37,70,201,57,72,72,44,7,7,10,10,10,1809,405,3,3,"Medium","Medium",1,"Normal (170-185)",83,50,64,72,65,71
"","J. van OvereemCM CDM",24,73,76,"FC Utrecht
2018 ~ 2022",210010,"181cm / 5'11""","71kg / 157lbs","Right",73,"CAM",3,"Jul 1, 2018","N/A","€5M","€15K","€7.9M",313,67,64,47,77,58,360,76,74,60,74,76,369,74,68,83,68,76,296,66,36,75,55,64,292,42,58,65,75,52,72,172,57,63,52,52,9,15,12,9,7,1854,398,3,3,"Medium","Medium",1,"Normal (170-185)",71,64,73,76,58,56
"","E. BarretoCM",33,73,73,"Sampdoria
2015 ~ 2020",152922,"180cm / 5'11""","79kg / 174lbs","Right",74,"CDM",0,"Jul 1, 2015","N/A","€2.3M","€30K","€4M",326,66,56,60,76,68,365,68,73,76,74,74,330,66,66,66,70,62,339,83,48,60,74,74,356,78,76,69,73,60,72,222,74,76,72,61,11,6,15,14,15,1999,417,4,3,"Medium","High",2,"Normal (170-185)",66,66,73,69,73,70
"","F. MubeleST",24,73,77,"Toulouse
2018 ~ 2022",218970,"175cm / 5'9""","74kg / 163lbs","Right",73,"ST",4,"Jul 1, 2018","N/A","€5.5M","€20K","€11.4M",316,58,71,62,64,61,319,73,59,59,58,70,411,85,83,89,73,81,366,76,73,68,74,75,324,69,45,75,70,65,69,111,34,39,38,51,15,6,12,8,10,1898,405,2,3,"Medium","Medium",1,"Stocky (170-185)",84,72,63,74,41,71
"","A. ChávezST",27,73,73,"Huracán
2018 ~ 2021",223066,"184cm / 6'0""","80kg / 176lbs","Left",72,"ST",0,"Jan 25, 2018","N/A","€4.3M","€15K","€6.4M",344,66,70,71,61,76,333,73,68,66,59,67,360,75,77,73,69,66,409,81,84,81,83,80,341,80,48,72,73,68,76,83,25,30,28,56,14,14,6,12,10,1926,405,2,3,"High","Medium",1,"Stocky (170-185)",76,75,65,71,36,82
"","M. MahiST LM",24,73,77,"FC Groningen
2014 ~ 2019",225114,"181cm / 5'11""","69kg / 152lbs","Right",73,"RW",4,"Aug 22, 2014","N/A","€5.5M","€9K","€8.7M",341,67,72,59,70,73,354,78,71,68,60,77,373,77,78,78,70,70,354,79,67,69,66,73,303,56,40,67,66,74,72,93,29,30,34,52,8,14,6,14,10,1870,396,4,4,"Medium","Medium",1,"Normal (170-185)",78,74,67,77,35,65
"","R. MeggioriniST",32,73,73,"Chievo
2014 ~ 2021",188506,"182cm / 6'0""","78kg / 172lbs","Left",72,"CF",0,"Jul 2, 2014","N/A","€3.2M","€15K","€5.7M",345,62,72,72,70,69,330,74,69,60,54,73,368,75,66,78,75,74,347,69,76,67,75,60,289,45,23,74,74,73,78,102,50,28,24,28,6,6,6,5,5,1809,384,3,3,"Medium","Medium",2,"Normal (170-185)",70,69,66,74,38,67
"","C. MontesCB",21,73,81,"Monterrey
2015 ~ 2020",229980,"191cm / 6'3""","70kg / 154lbs","Right",72,"CB",8,"Jul 1, 2015","N/A","€5M","€20K","€9M",246,41,32,76,66,31,285,52,62,37,70,64,321,59,67,71,69,55,318,50,78,76,79,35,312,73,71,59,61,48,74,217,69,74,74,42,9,10,5,5,13,1741,368,3,2,"Medium","High",1,"Normal (185+)",63,38,59,59,72,77
"","J. PoulsenCM",34,73,73,"Midtjylland
2014 ~ 2020",49756,"181cm / 5'11""","74kg / 163lbs","Right",72,"CM",0,"Jan 21, 2014","N/A","€1.9M","€20K","€2.5M",334,74,67,52,74,67,362,69,72,77,73,71,318,48,58,70,69,73,363,72,70,80,68,73,365,73,68,69,73,82,75,175,60,62,53,46,14,8,8,10,6,1963,401,3,3,"Medium","Medium",1,"Lean (170-185)",54,70,74,70,61,72
"","A. GrünwaldCAM CM",29,73,73,"Austria Wien
2011 ~ 2021",183644,"188cm / 6'2""","84kg / 185lbs","Left",72,"CAM",0,"Jul 1, 2011","N/A","€3.9M","€15K","€5.7M",332,67,69,58,74,64,372,73,75,79,70,75,332,65,66,64,69,68,372,73,65,80,84,70,335,65,61,65,76,68,70,166,55,56,55,60,12,13,12,11,12,1969,416,2,3,"Medium","Medium",1,"Normal (185+)",66,70,73,72,57,78
"","J. LewisGK",30,73,73,"Aberdeen
2016 ~ 2020",156253,"198cm / 6'6""","85kg / 187lbs","Right",72,"GK",0,"Jun 15, 2016","N/A","€2.6M","€6K","€4.5M",81,11,19,13,23,15,97,11,18,19,33,16,283,55,57,63,64,44,220,23,74,35,75,13,154,34,23,16,63,18,62,47,22,12,13,358,76,68,67,72,75,1240,414,3,1,"Medium","Medium",1,"Lean (185+)",76,68,67,75,56,72
"","J. GandolfiCB",37,73,73,"Talleres Córdoba
2016 ~ 2020",142942,"178cm / 5'10""","78kg / 172lbs","Right",72,"CB",0,"Jul 1, 2016","N/A","€275K","€10K","€825K",271,44,34,73,70,50,296,45,58,64,69,60,283,65,43,64,58,53,336,67,83,65,81,40,299,82,71,26,62,58,70,215,69,74,72,68,12,15,12,16,13,1768,359,2,2,"Low","Medium",1,"Stocky (170-185)",53,43,62,52,72,77
"","J. ToljanRB LB",23,73,77,"Celtic
Jun 30, 2019 On loan",214622,"182cm / 6'0""","74kg / 163lbs","Right",73,"RB",4,"Aug 30, 2017","Jun 30, 2019","€4.3M","€30K","€0",278,75,39,49,74,41,274,68,39,32,63,72,388,88,89,74,67,70,311,49,84,74,66,38,273,62,68,56,48,39,58,209,63,74,72,56,10,13,10,11,12,1789,400,4,3,"Medium","Medium",2,"Lean (170-185)",89,42,64,70,67,68
"","O. MangalaCM CDM",20,73,84,"Hamburger SV
Jun 30, 2019 On loan",234078,"178cm / 5'10""","78kg / 172lbs","Right",72,"CM",11,"Jul 1, 2017","Jun 30, 2019","€7M","€10K","€0",278,63,38,51,75,51,330,77,57,50,69,77,360,75,69,76,72,68,340,65,66,78,69,62,309,65,67,60,75,42,71,197,73,65,59,37,7,6,7,7,10,1851,404,4,3,"Medium","Medium",1,"Normal (170-185)",72,50,70,76,66,70
"","FabianoGK",30,73,73,"Porto
2012 ~ 2019",184926,"197cm / 6'6""","91kg / 201lbs","Right",72,"GK",0,"Jul 1, 2012","N/A","€2.6M","€9K","€5.1M",95,13,10,19,34,19,77,12,17,15,22,11,218,47,39,37,66,29,232,18,74,42,78,20,126,33,16,10,45,22,47,43,16,16,11,364,75,70,73,74,72,1155,407,1,1,"Medium","Medium",1,"Lean (185+)",75,70,73,72,43,74
"","J. MišićCM",24,73,78,"PAOK
2018 ~ 2023",231007,"184cm / 6'0""","79kg / 174lbs","Right",72,"CAM",5,"Jan 6, 2018","N/A","€5.5M","€1K","€12M",312,50,62,58,76,66,370,74,68,77,75,76,338,65,67,69,72,65,358,72,74,65,75,72,334,63,66,67,74,64,74,179,63,65,51,45,7,13,8,12,5,1936,410,3,2,"Medium","High",1,"Normal (170-185)",66,67,70,74,63,70
"","J. GélinCB CDM",21,73,83,"Rennes
2017 ~ 2022",231263,"183cm / 6'0""","79kg / 174lbs","Right",72,"CB",10,"Jul 1, 2017","N/A","€5.5M","€15K","€11.6M",242,44,30,68,70,30,278,58,52,33,67,68,320,59,66,61,73,61,300,52,71,69,73,35,276,73,71,26,58,48,71,218,72,75,71,52,8,11,7,12,14,1686,364,3,2,"Medium","Medium",1,"Normal (170-185)",63,36,59,62,72,72
"","Raul GarcíaLB CB LM",29,73,73,"Girona
2019 ~ 2019",198240,"175cm / 5'9""","72kg / 159lbs","Left",73,"LB",0,"Jan 15, 2019","N/A","€3M","€20K","€6.3M",321,76,58,61,72,54,350,65,75,73,68,69,363,70,71,75,68,79,373,72,77,90,70,64,337,74,72,62,65,64,64,209,62,73,74,54,13,6,11,15,9,2007,416,2,2,"Medium","Medium",1,"Normal (170-185)",71,62,71,68,68,76
"","S. GentilettiCB",33,73,73,"Albacete
2018 ~ 2019",205408,"186cm / 6'1""","77kg / 170lbs","Left",72,"CB",0,"Aug 29, 2018","N/A","€1.6M","€8K","€2.6M",227,49,17,71,60,30,310,59,58,63,65,65,318,64,66,59,68,61,329,78,77,48,78,48,270,77,69,29,52,43,72,217,73,72,72,55,14,9,12,6,14,1726,363,2,2,"Low","Medium",2,"Normal (185+)",65,38,57,61,72,70
"","Diego LopesCAM LW CM",24,73,77,"Rio Ave
2018 ~ 2023",210016,"171cm / 5'7""","64kg / 141lbs","Right",72,"CAM",4,"Jan 16, 2018","N/A","€5M","€8K","€10.9M",315,64,65,55,72,59,348,76,68,61,68,75,384,74,72,81,73,84,284,69,49,69,33,64,321,71,42,68,73,67,67,140,36,53,51,60,16,11,7,15,11,1852,380,4,3,"Medium","Low",1,"Normal (170-185)",73,66,69,76,46,50
"","M. BangueraGK",32,73,73,"Ecuador
Free",189024,"188cm / 6'2""","90kg / 198lbs","Right",72,"GK",0,"Jan 1, 2009","N/A","€0","€0","€0",71,12,14,15,14,16,81,18,19,20,12,12,208,40,40,28,69,31,156,12,35,30,65,14,98,30,18,16,21,13,39,45,15,16,14,357,68,70,65,77,77,1016,397,3,1,"Medium","Medium",1,"Stocky (185+)",68,70,65,77,40,77
"","S. SosaGK",31,73,73,"Morelia
2015 ~ 2022",205409,"182cm / 6'0""","79kg / 174lbs","Right",72,"GK",0,"Jul 20, 2015","N/A","€2.4M","€8K","€4.1M",75,14,10,14,25,12,91,20,18,16,20,17,267,40,42,60,75,50,211,22,65,38,68,18,95,19,22,15,17,22,63,46,20,15,11,352,73,68,65,72,74,1137,393,3,1,"Medium","Medium",1,"Normal (170-185)",73,68,65,74,41,72
"","A. ÖmürRM LM",19,73,84,"Trabzonspor
2015 ~ 2022",231777,"168cm / 5'6""","67kg / 148lbs","Left",73,"CAM",11,"Jul 20, 2015","N/A","€6.5M","€10K","€14.3M",311,68,64,50,72,57,358,78,72,69,62,77,395,81,81,82,67,84,286,68,53,67,34,64,282,52,35,67,73,55,65,110,35,40,35,57,11,12,13,11,10,1799,378,3,3,"High","Medium",1,"Normal (170-)",81,64,70,78,38,47
"","K. LongCB",27,73,74,"Burnley
2010 ~ 2021",194146,"190cm / 6'3""","82kg / 181lbs","Right",72,"CB",1,"Jan 25, 2010","N/A","€3.8M","€40K","€7.5M",229,38,29,76,60,26,236,53,38,32,55,58,287,54,58,57,66,52,305,56,79,66,77,27,276,75,71,48,50,32,66,217,72,73,72,44,8,14,7,8,7,1594,344,2,2,"Low","Medium",1,"Normal (185+)",56,35,50,56,73,74
"","M. StekelenburgGK",35,73,73,"Everton
2016 ~ 2020",2147,"197cm / 6'6""","92kg / 203lbs","Right",72,"GK",0,"Jul 4, 2016","N/A","€950K","€30K","€1.8M",93,18,11,14,39,11,106,12,13,13,37,31,195,30,36,30,72,27,186,13,55,30,77,11,142,41,26,12,40,23,59,38,9,15,14,365,71,72,76,73,73,1125,398,4,1,"Medium","Medium",2,"Lean (185+)",71,72,76,73,33,73
"","Juan CarlosCAM LM",27,73,73,"Almería
2018 ~ 2020",204387,"183cm / 6'0""","73kg / 161lbs","Right",72,"CAM",0,"Jul 27, 2018","N/A","€4.2M","€8K","€6.5M",309,68,70,49,73,49,342,71,65,70,64,72,344,71,63,74,68,68,314,58,60,70,56,70,301,45,45,75,76,60,75,150,60,49,41,47,8,11,14,6,8,1807,384,3,3,"High","Medium",1,"Lean (170-185)",67,66,71,71,51,58
"","SamirCB LB",23,73,77,"Udinese
2016 ~ 2022",215651,"189cm / 6'2""","80kg / 176lbs","Left",72,"CB",4,"Jun 30, 2016","N/A","€4.4M","€15K","€7.8M",245,63,24,68,62,28,237,58,29,30,58,62,286,66,68,50,66,36,291,60,60,69,76,26,273,78,74,30,47,44,65,223,73,76,74,61,11,11,14,11,14,1616,361,2,2,"Medium","High",1,"Normal (185+)",67,33,55,58,74,74
"","H. MukhtarCAM",23,73,79,"Brøndby
2015 ~ 2021",210021,"173cm / 5'8""","71kg / 157lbs","Right",73,"RM",6,"Jan 15, 2015","N/A","€5.5M","€20K","€8M",297,68,60,40,74,55,345,76,60,67,64,78,399,76,81,87,70,85,345,70,71,88,53,63,281,38,45,66,72,60,66,133,47,42,44,55,15,10,9,9,12,1855,394,5,3,"High","Medium",1,"Normal (170-185)",79,63,70,78,44,60
"FIFA 19 Sep 11, 201979 78 Potential","F. BarbaCB LB",24,73,78,"Chievo
2018 ~ 2022",211557,"185cm / 6'1""","77kg / 170lbs","Left",72,"CB",5,"Aug 14, 2018","N/A","€4.5M","€10K","€8.5M",234,47,21,73,61,32,235,51,40,29,56,59,324,69,69,67,68,51,287,47,66,68,75,31,239,72,76,27,29,35,66,223,75,74,74,51,7,11,12,13,8,1593,350,2,2,"Low","Medium",1,"Lean (185+)",69,30,48,56,75,72
"","V. OsimhenST",19,73,84,"Sporting Charleroi
Jun 30, 2019 On loan",232293,"185cm / 6'1""","78kg / 172lbs","Right",72,"ST",11,"Jan 1, 2017","Jun 30, 2019","€6.5M","€8K","€0",341,64,73,72,66,66,285,68,59,39,49,70,377,82,87,75,66,67,372,73,78,77,77,67,298,71,29,71,62,65,61,105,36,36,33,53,14,14,10,9,6,1831,400,4,3,"High","High",1,"Lean (185+)",85,71,61,69,38,76
"","T. ElyounoussiST CAM LM",30,73,73,"AIK
2018 ~ 2019",169317,"172cm / 5'8""","66kg / 146lbs","Right",75,"RW",0,"Jan 30, 2018","N/A","€3.9M","€10K","€5M",347,68,70,62,71,76,333,76,68,65,50,74,419,82,82,90,74,91,365,72,77,83,64,69,328,59,54,76,74,65,72,117,56,33,28,53,15,8,9,14,7,1962,412,4,4,"High","High",1,"Lean (170-185)",82,71,67,77,47,68
"","T. KrulGK",30,73,73,"Norwich City
2018 ~ 2022",170597,"188cm / 6'2""","74kg / 163lbs","Left",72,"GK",0,"Jul 24, 2018","N/A","€2.6M","€15K","€4.9M",95,13,11,19,36,16,91,13,13,15,25,25,238,43,35,48,70,42,205,23,69,36,63,14,152,36,19,11,44,42,53,45,14,17,14,356,74,72,68,68,74,1182,395,2,1,"Medium","Medium",2,"Lean (185+)",74,72,68,74,39,68
"","R. MartínezCM",35,73,73,"San Lorenzo
2019 ~ 2020",142950,"184cm / 6'0""","81kg / 179lbs","Right",72,"CAM",0,"Jan 22, 2019","N/A","€1.7M","€10K","€2.5M",332,66,68,55,77,66,346,70,77,55,71,73,327,69,54,70,72,62,351,73,64,68,71,75,316,71,55,74,75,41,71,173,50,70,53,50,9,10,8,8,15,1895,401,3,3,"Medium","Medium",1,"Lean (170-185)",61,69,72,71,58,70
"","Bruno XadasRM",20,73,84,"Sporting Braga
2016 ~ 2022",237670,"179cm / 5'10""","72kg / 159lbs","Left",73,"CAM",11,"Jul 1, 2016","N/A","€7M","€9K","€15.4M",326,72,64,45,74,71,366,77,82,65,66,76,371,76,73,76,74,72,359,81,74,65,62,77,312,58,46,67,72,69,69,126,36,47,43,58,15,7,11,15,10,1918,399,3,4,"Medium","Medium",1,"Normal (170-185)",74,71,72,76,43,63
"","A. BüttnerLM LB",29,73,73,"Vitesse
2017 ~ 2019",186982,"174cm / 5'9""","75kg / 165lbs","Left",72,"LM",0,"Jan 16, 2017","N/A","€3.9M","€15K","€5.9M",330,76,58,65,71,60,368,73,74,75,72,74,361,73,74,70,70,74,366,82,73,74,69,68,358,79,66,70,69,74,70,212,65,73,74,57,8,11,14,14,10,2052,426,3,3,"High","Medium",1,"Normal (170-185)",74,66,72,73,69,72
"","S. FreiGK",32,73,73,"Seattle Sounders
2013 ~ 2019",190569,"191cm / 6'3""","88kg / 194lbs","Right",72,"GK",0,"Dec 10, 2013","N/A","€2.3M","€6K","€3.4M",90,15,17,12,32,14,102,18,10,15,33,26,269,43,45,51,72,58,213,23,78,30,70,12,144,44,15,12,53,20,51,44,12,20,12,354,74,68,67,71,74,1216,398,2,1,"Medium","Medium",1,"Normal (185+)",74,68,67,74,44,71
"","CristianoST LM",31,73,73,"Kashiwa Reysol
2016 ~ 2022",207722,"183cm / 6'0""","83kg / 183lbs","Right",72,"ST",0,"Jun 26, 2016","N/A","€3.6M","€10K","€4.5M",331,68,68,64,66,65,354,75,70,73,65,71,354,89,88,70,62,45,377,84,56,72,91,74,306,61,47,65,66,67,55,97,36,31,30,48,13,8,11,8,8,1867,416,4,3,"High","Medium",1,"Stocky (170-185)",88,72,67,71,39,79
"","Bruno VarelaGK",23,73,77,"Ajax
Jun 30, 2020 On loan",219754,"191cm / 6'3""","87kg / 192lbs","Right",72,"GK",4,"Jul 2, 2017","Jun 30, 2020","€3.7M","€9K","€0",95,20,16,16,31,12,102,19,20,13,25,25,247,37,43,59,65,43,205,19,51,44,73,18,130,23,17,14,52,24,25,47,15,12,20,358,76,70,63,74,75,1184,398,3,1,"Medium","Medium",1,"Lean (185+)",76,70,63,75,40,74
"","J. GóralskiCDM",25,73,77,"Poland
Free",229739,"172cm / 5'8""","66kg / 146lbs","Right",72,"CDM",4,"Aug 1, 2017","N/A","€0","€0","€0",269,55,42,55,70,47,292,61,46,46,71,68,372,70,73,84,64,81,317,50,62,86,73,46,339,90,77,62,67,43,75,205,66,70,69,47,11,14,7,10,5,1841,397,2,2,"Medium","High",1,"Normal (170-185)",72,46,64,67,69,79
"","A. NwakaemeLM",29,73,73,"Trabzonspor
2018 ~ 2022",241771,"185cm / 6'1""","80kg / 176lbs","Right",74,"ST",0,"Aug 20, 2018","N/A","€3.9M","€30K","€7.8M",335,66,74,66,68,61,324,80,66,44,58,76,368,79,83,77,68,61,373,78,71,72,79,73,267,49,13,73,64,68,70,98,27,37,34,46,6,10,6,15,9,1811,399,3,3,"High","Low",1,"Normal (185+)",81,74,64,77,32,71
"","D. NdongalaRW RM",27,73,73,"Genk
2018 ~ 2021",204908,"170cm / 5'7""","59kg / 130lbs","Right",73,"RM",0,"May 8, 2018","N/A","€4.2M","€15K","€6.3M",299,71,61,38,67,62,332,77,67,57,59,72,431,91,88,93,68,91,314,60,88,69,40,57,258,39,28,67,70,54,69,74,21,29,24,55,11,10,9,10,15,1763,369,3,3,"Medium","Medium",1,"Lean (170-)",89,60,67,77,27,49
"","D. von BallmoosGK",23,73,81,"Young Boys
2015 ~ 2022",219244,"192cm / 6'4""","90kg / 198lbs","Right",72,"GK",8,"Jul 1, 2015","N/A","€4.4M","€10K","€7.5M",100,16,16,13,35,20,104,22,19,13,27,23,275,55,49,52,66,53,218,25,68,37,73,15,138,25,26,19,40,28,61,47,9,20,18,362,75,72,70,70,75,1244,414,3,1,"Medium","Medium",1,"Normal (185+)",75,72,70,75,52,70
"","S. CarsonGK",32,73,73,"Derby County
2015 ~ 2020",157804,"190cm / 6'3""","86kg / 190lbs","Right",72,"GK",0,"Jun 12, 2015","N/A","€2.3M","€20K","€4.4M",89,14,19,18,25,13,88,17,18,16,17,20,221,33,37,38,71,42,212,22,72,28,70,20,117,23,19,11,44,20,38,45,10,15,20,356,71,70,69,74,72,1128,391,3,1,"Medium","Medium",2,"Stocky (185+)",71,70,69,72,35,74
"","L. NguyenCAM CM",31,73,73,"Los Angeles FC
2018 ~ 2021",178284,"173cm / 5'8""","68kg / 150lbs","Right",72,"CAM",0,"May 2, 2018","N/A","€3.5M","€8K","€5.3M",318,67,66,42,75,68,362,73,75,72,70,72,353,70,67,72,73,71,308,73,37,67,60,71,321,63,43,69,73,73,74,131,53,44,34,52,6,13,9,11,13,1845,388,3,4,"High","Low",1,"Normal (170-185)",68,69,72,73,45,61
"","J. PiedRB RM LB",29,73,73,"Lille
2018 ~ 2020",183916,"173cm / 5'8""","73kg / 161lbs","Right",73,"CM",0,"Aug 31, 2018","N/A","€3M","€20K","€5.7M",353,75,61,71,77,69,375,75,77,73,75,75,358,69,68,76,68,77,361,83,70,72,64,72,347,77,73,67,67,63,73,215,73,72,70,51,13,9,7,15,7,2060,426,3,3,"High","High",1,"Normal (170-185)",68,68,74,75,72,69
"","M. van der HoornCB",25,73,76,"Swansea City
2016 ~ 2020",207725,"190cm / 6'3""","83kg / 183lbs","Right",72,"CB",3,"Jul 18, 2016","N/A","€4.2M","€20K","€8.3M",250,41,42,80,61,26,225,45,33,31,62,54,207,34,42,32,62,37,329,73,83,57,85,31,251,64,70,40,37,40,62,223,76,77,70,58,7,11,15,10,15,1543,328,3,2,"Medium","Medium",1,"Normal (185+)",38,45,49,47,75,74
"","W. ZimmermanCB",25,73,76,"Los Angeles FC
2019 ~ 2022",212591,"191cm / 6'3""","89kg / 196lbs","Right",72,"CB",3,"Jan 15, 2019","N/A","€4.2M","€7K","€6.6M",285,39,52,78,67,49,242,42,33,38,66,63,274,53,63,45,70,43,335,57,78,76,84,40,295,82,72,48,37,56,67,204,72,69,63,54,13,14,8,10,9,1689,363,3,2,"Medium","Medium",1,"Normal (185+)",59,50,52,50,71,81
"","C. StankovićGK",25,73,77,"Salzburg
2015 ~ 2023",216175,"186cm / 6'1""","80kg / 176lbs","Right",72,"GK",4,"Jul 1, 2015","N/A","€3.7M","€20K","€5.8M",78,16,8,19,24,11,89,14,12,19,21,23,271,40,47,65,64,55,203,22,73,30,64,14,114,25,22,10,37,20,23,49,20,14,15,357,77,69,64,70,77,1161,401,4,1,"Medium","Medium",1,"Lean (185+)",77,69,64,77,44,70
"","O. VeigneauLB",32,73,73,"Kasımpaşa
2015 ~ 2020",165232,"176cm / 5'9""","70kg / 154lbs","Left",73,"CDM",0,"Aug 17, 2015","N/A","€2.2M","€10K","€4.4M",266,70,25,61,72,38,312,69,58,43,73,69,360,67,67,79,68,79,336,66,72,72,64,62,312,72,76,47,64,53,64,229,75,80,74,51,12,15,8,9,7,1866,392,3,3,"Medium","Medium",1,"Normal (170-185)",67,44,68,70,75,68
"","Vasco FernandesCB LB",31,73,73,"Vitória FC
2016 ~ 2020",185200,"182cm / 6'0""","76kg / 168lbs","Right",72,"CB",0,"Jul 3, 2016","N/A","€2.7M","€6K","€5.7M",263,55,27,71,61,49,291,60,58,48,58,67,333,67,64,66,67,69,348,59,89,78,73,49,281,79,73,43,48,38,69,216,71,74,71,59,16,9,11,12,11,1791,373,3,2,"Medium","High",1,"Normal (170-185)",65,40,56,64,72,76
"","H. BarcosST",34,73,73,"Atlético Nacional
2019 ~ 2019",191856,"187cm / 6'2""","92kg / 203lbs","Right",72,"ST",0,"Jan 28, 2019","N/A","€2.1M","€6K","€2.9M",341,57,70,76,70,68,337,67,66,65,64,75,274,59,58,42,69,46,350,76,71,41,92,70,347,74,52,75,71,75,76,119,41,40,38,54,6,7,16,14,11,1822,383,5,3,"Medium","Medium",2,"Normal (185+)",58,72,66,66,46,75
"","Gus OutomouroST LM",34,73,73,"Internacional
2018 ~ 2021",230513,"175cm / 5'9""","73kg / 161lbs","Right",72,"CF",0,"Jan 1, 2018","N/A","€2.1M","€20K","€4M",349,62,74,67,73,73,337,70,71,60,62,74,386,76,73,81,73,83,342,75,67,67,64,69,270,50,23,68,73,56,71,69,24,25,20,51,8,9,16,11,7,1804,377,3,3,"Medium","Medium",1,"Normal (170-185)",74,72,68,73,28,62
"","P. ArriolaRM",23,73,77,"DC United
2017 ~ 2020",217714,"167cm / 5'6""","65kg / 143lbs","Right",72,"RM",4,"Aug 10, 2017","N/A","€5M","€7K","€7.9M",308,66,67,46,68,61,326,74,72,47,63,70,390,82,82,79,68,79,352,71,75,86,56,64,336,77,51,72,70,66,67,181,60,64,57,62,16,10,9,13,14,1955,415,3,3,"High","High",1,"Normal (170-)",82,67,66,73,58,69
"FIFA 19 Sep 11, 201978 76 Potential","C. DoukouréCDM CM",25,73,76,"Levante
2017 ~ 2021",195698,"180cm / 5'11""","82kg / 181lbs","Right",74,"CB",3,"Aug 4, 2017","N/A","€4.2M","€15K","€9.2M",310,59,58,69,72,52,317,65,57,59,65,71,363,76,74,72,66,75,377,72,78,82,80,65,337,77,75,64,63,58,65,219,72,74,73,66,15,15,15,10,11,1989,423,3,3,"Medium","Medium",1,"Normal (170-185)",75,62,65,68,73,80
"","Juliano MascarinhasCDM CM",34,73,73,"Grêmio
2018 ~ 2021",230259,"183cm / 6'0""","80kg / 176lbs","Right",72,"CDM",0,"Jan 1, 2018","N/A","€1.2M","€20K","€2.2M",282,56,52,58,74,42,302,62,44,60,72,64,324,66,62,61,71,64,335,58,73,79,75,50,323,71,75,62,57,58,72,219,79,72,68,53,12,9,9,7,16,1838,393,2,2,"Medium","Medium",1,"Normal (170-185)",64,53,65,63,73,75
"","Matheus CunhaST RM CAM",19,73,86,"RB Leipzig
2018 ~ 2023",240243,"184cm / 6'0""","75kg / 165lbs","Right",73,"ST",13,"Jul 1, 2018","N/A","€7.5M","€20K","€17.4M",324,64,74,63,62,61,328,77,63,56,55,77,360,78,75,69,69,69,349,74,73,68,64,70,275,59,14,73,69,60,67,78,30,24,24,52,8,7,13,13,11,1766,378,4,4,"Medium","Medium",1,"Lean (170-185)",76,72,63,75,28,64
"","F. RinaudoCM CDM CB",31,73,73,"Rosario Central
2019 ~ 2021",192371,"176cm / 5'9""","74kg / 163lbs","Right",75,"CDM",0,"Jan 21, 2019","N/A","€3.4M","€15K","€5.1M",321,62,58,64,77,60,322,69,54,53,76,70,355,73,65,71,74,72,377,75,77,75,78,72,334,81,77,60,64,52,76,219,71,74,74,66,15,12,15,15,9,1994,423,3,3,"Low","High",2,"Normal (170-185)",69,64,69,70,73,78
"","P. BarrientosCAM CM LM",33,73,73,"Toluca
2016 ~ 2023",162932,"176cm / 5'9""","69kg / 152lbs","Left",72,"CAM",0,"Jul 30, 2016","N/A","€2.4M","€20K","€4.1M",339,70,60,63,75,71,382,75,83,77,73,74,346,61,61,77,71,76,308,74,55,50,58,71,320,65,37,63,80,75,75,107,45,31,31,52,6,14,14,9,9,1854,374,3,4,"Medium","Medium",1,"Lean (170-185)",61,66,75,75,40,57
"","A. SmithiesGK",28,73,74,"Cardiff City
2018 ~ 2022",184436,"188cm / 6'2""","88kg / 194lbs","Right",72,"GK",1,"Jun 28, 2018","N/A","€3.2M","€30K","€6.7M",85,14,11,17,30,13,74,14,11,11,15,23,262,59,59,33,67,44,244,46,80,39,66,13,142,37,24,17,43,21,58,44,15,12,17,357,74,69,67,74,73,1208,416,2,1,"Medium","Medium",1,"Lean (185+)",74,69,67,73,59,74
