"Name","Age","Overall.rating","Potential","Years Left","field_position","Value","Wage","Skill.moves","Heading.accuracy","Long.passing","Ball.control","Total.movement","Jumping","Stamina","Strength","Total.mentality","Total.defending"
"K. Stafylidis B",24,75,78,0,"Defender",7e+06,20000,3,51,74,75,375,70,70,71,277,233
"M. Veljković",22,75,81,3,"Defender",8e+06,20000,2,76,74,67,324,83,67,76,265,223
"E. Mas",29,75,75,2,"Defender",5e+06,20000,3,74,68,74,366,82,87,77,347,213
"A. Long",25,75,80,2,"Defender",7500000,8000,2,77,65,66,352,85,82,83,291,217
"G. Montiel",21,75,82,2,"Defender",8e+06,15000,3,68,62,72,387,80,86,73,349,215
"J. Alonso",25,75,80,NA,"Defender",7500000,20000,2,73,69,68,335,73,76,85,305,216
"C. Davies",33,75,75,1,"Defender",2700000,40000,2,76,55,64,299,76,60,83,265,225
"M. Wakaso",27,75,75,1,"Defender",7e+06,20000,3,50,71,76,417,85,81,74,337,222
"Ó. Murillo",30,75,75,3,"Defender",4900000,30000,2,75,65,56,305,85,66,83,260,214
"O. Onazi",25,75,78,1,"Defender",7e+06,20000,3,53,74,75,413,55,85,68,343,218
"C. Günter B",25,75,76,3,"Defender",6500000,20000,3,57,59,68,360,53,85,76,314,218
"K. Mbodji",28,75,75,1,"Defender",5500000,20000,3,80,65,66,257,63,66,92,291,221
"B. Sarr",26,75,76,3,"Defender",6500000,40000,3,65,67,74,395,63,77,68,345,216
"R. Durmisi B",24,75,80,4,"Defender",7500000,30000,3,70,63,74,400,81,84,55,331,211
"M. Sarr",19,75,84,2,"Defender",8500000,10000,2,73,69,67,362,78,79,79,308,224
"C. Maggio",36,75,75,1,"Defender",775000,4000,3,74,72,77,358,86,79,77,328,224
"J. Figal",24,75,81,3,"Defender",8e+06,15000,3,74,68,73,358,78,79,74,280,217
"Sidcley",25,75,76,4,"Defender",8e+06,2000,3,58,72,75,397,71,80,71,349,223
"F. Helander",25,75,77,3,"Defender",7e+06,30000,2,74,48,54,274,68,63,83,260,232
"W. Hoedt",24,75,79,NA,"Defender",7500000,15000,2,78,74,62,262,74,65,77,282,222
"A. Romao",34,75,75,2,"Defender",2e+06,15000,3,70,68,71,331,75,76,78,345,225
"P. Hetemaj",31,75,75,1,"Defender",5500000,15000,3,58,73,73,383,90,88,67,370,217
"Sequeira",27,75,75,3,"Defender",5500000,15000,3,65,74,73,342,61,82,71,315,224
"M. Gulde",27,75,75,3,"Defender",5500000,20000,2,71,58,61,343,81,63,73,282,232
"S. Francis",33,75,75,1,"Defender",2700000,50000,2,72,69,69,285,71,55,77,313,227
"Lafortiscinho",26,75,75,2,"Defender",5500000,20000,3,72,74,71,382,73,81,62,318,223
"D. Boyata",27,75,77,0,"Defender",6500000,40000,2,76,56,61,314,85,77,90,242,216
"Rodrigo Ely",24,75,79,2,"Defender",7500000,15000,2,73,54,55,298,76,63,88,229,224
"B. OczipkaB",29,75,75,1,"Defender",5e+06,30000,2,68,71,73,339,72,77,75,340,226
"S. Bell",26,75,76,1,"Defender",6500000,20000,2,79,66,54,271,64,62,85,271,222
"F. Uduokhai",20,75,82,3,"Defender",8e+06,20000,2,77,59,69,336,68,64,77,264,222
"R. Gosens",23,75,78,1,"Defender",8500000,20000,3,66,70,75,363,91,79,75,326,216
"Nacho",29,75,75,3,"Defender",5e+06,20000,3,59,67,70,410,85,80,61,300,217
"C. Taylor",24,75,78,2,"Defender",7e+06,40000,3,71,67,73,357,76,77,74,324,225
"T. Kędziora",24,75,80,2,"Defender",7500000,1000,2,71,64,65,360,73,78,71,305,229
"M. Pavlović",28,75,75,1,"Defender",5500000,20000,2,79,55,69,193,79,66,93,292,223
"S. Dann",31,75,75,1,"Defender",4500000,40000,2,81,58,60,235,66,46,77,263,228
"Zaldúa",26,75,76,4,"Defender",6500000,20000,2,75,55,68,340,67,65,60,269,228
"M. Kelly",28,75,76,2,"Defender",6e+06,40000,2,76,64,67,280,68,61,76,282,228
"P. Retsos",19,75,85,3,"Defender",9e+06,20000,2,70,62,65,336,74,76,74,256,224
"Kaimo Lima",34,75,75,2,"Defender",2e+06,20000,2,75,77,70,344,76,61,77,327,220
"D. Ćaleta-Car",21,75,81,4,"Defender",8e+06,30000,2,74,79,65,307,77,75,84,293,227
"Y. Osorio",24,75,81,NA,"Defender",8e+06,9000,2,70,38,59,278,71,66,87,258,223
"Titi",30,75,75,1,"Defender",4900000,20000,2,76,39,66,227,46,52,88,321,231
"F. Ricca",23,75,80,1,"Defender",7500000,9000,2,69,56,69,346,51,78,65,286,225
"C. Dawson",28,75,75,1,"Defender",5500000,30000,2,80,60,67,306,82,78,77,324,224
"Paulo Oliveira",26,75,77,2,"Defender",6500000,20000,2,77,52,71,308,85,74,80,259,223
"G. González",30,75,75,3,"Defender",4900000,8000,2,72,60,60,318,74,63,76,272,227
"C. Zambrano",28,75,75,0,"Defender",5500000,20000,2,74,68,69,306,81,63,73,293,227
"B. JokičB",32,75,75,NA,"Defender",0,0,2,65,69,74,374,81,77,76,319,213
"Diego Rico",25,75,77,3,"Defender",6500000,50000,3,74,57,68,347,72,80,74,311,217
"G. Donsah",22,75,81,3,"Defender",9e+06,30000,3,56,76,78,394,78,88,76,333,226
"L. Orbán",29,74,74,3,"Defender",4400000,15000,2,64,64,67,311,78,68,76,331,222
"J. Svensson",25,74,77,2,"Defender",6e+06,10000,3,59,66,69,387,73,89,77,333,215
"E. Roco",25,74,77,2,"Defender",6e+06,30000,2,79,60,62,253,78,70,82,263,220
"Duirval Diniz",34,74,74,2,"Defender",1700000,15000,2,75,62,55,288,71,61,82,274,227
"Arribas",29,74,74,3,"Defender",4400000,20000,2,71,58,68,276,80,63,78,257,219
"L. Sobiech",27,74,75,3,"Defender",5500000,15000,2,83,48,55,239,43,60,85,304,223
"T. Hlatshwayo",28,74,75,NA,"Defender",0,0,2,76,51,34,265,65,50,84,249,230
"M. Pasqual",36,74,74,0,"Defender",650000,9000,3,60,77,77,359,77,68,66,324,215
"E. Dilaver",27,74,76,2,"Defender",5500000,1000,2,74,65,64,341,72,76,75,307,218
"Rolando",32,74,74,0,"Defender",3200000,30000,2,74,66,66,204,67,54,81,287,223
"N. Milenković",20,74,83,3,"Defender",7500000,30000,2,70,64,68,292,68,79,85,263,225
"J. Chester",29,74,74,1,"Defender",4400000,20000,2,73,61,63,350,84,67,78,289,224
"J. Korb B",26,74,74,1,"Defender",4800000,30000,3,46,54,74,374,75,77,59,321,223
"E. Velázquez",24,74,80,2,"Defender",6500000,15000,2,65,71,71,260,81,69,77,250,229
"Y. Khacheridi",30,74,74,2,"Defender",4200000,1000,2,76,58,43,236,72,60,85,257,220
"Luís Hernández",29,74,74,2,"Defender",4400000,10000,2,66,69,69,342,81,73,75,306,227
"K. Laifis",25,74,76,3,"Defender",5500000,15000,2,75,74,69,322,67,77,74,334,225
"J. SilvaB",24,74,79,NA,"Defender",6500000,20000,3,55,63,73,371,69,78,65,333,221
"G. Ortíz",25,74,77,1,"Defender",6e+06,10000,2,72,68,50,338,80,77,79,272,216
"Daniel Ayala",27,74,76,1,"Defender",5500000,40000,2,78,60,66,319,73,74,78,302,215
"Idris",33,74,74,1,"Defender",2300000,8000,2,74,65,66,285,65,90,81,329,219
"J. Amavi",24,74,79,2,"Defender",6500000,30000,3,64,66,72,383,82,78,70,333,212
"A. Touré",22,74,79,4,"Defender",6500000,20000,3,69,55,73,343,74,76,74,287,220
"E. StevensB",27,74,74,3,"Defender",4600000,10000,3,56,51,70,349,64,84,73,302,218
"I. Kutepov",24,74,79,2,"Defender",6500000,1000,2,80,70,54,243,34,70,82,265,220
"C. Paterson  B",23,74,78,3,"Defender",7500000,40000,3,79,66,69,348,93,89,85,342,204
"Enaldo Praz",30,74,74,2,"Defender",4100000,20000,2,68,69,69,345,64,81,62,321,226
"A. Beck B",31,74,74,0,"Defender",3700000,30000,3,71,69,72,354,66,69,69,293,226
"K. Lawrence B",25,74,77,2,"Defender",6e+06,7000,3,64,52,69,390,82,82,79,285,219
"C. Kerbrat",31,74,74,1,"Defender",3800000,20000,2,70,66,70,309,71,73,74,289,226
"F. Novák",28,74,74,1,"Defender",4400000,30000,3,72,67,71,374,70,87,71,319,214
"P. Martinez",29,74,74,0,"Defender",4400000,15000,3,73,70,66,342,75,75,74,297,226
"M. Silvestre",33,74,74,0,"Defender",2300000,10000,2,79,62,58,283,88,54,77,285,223
"B. Poulain",30,74,74,0,"Defender",4200000,20000,2,75,66,56,227,38,66,80,320,226
"Y. Nagatomo",31,74,74,1,"Defender",3700000,40000,3,57,63,68,415,79,78,57,311,218
"Jailson Caeiro",26,74,74,2,"Defender",4800000,20000,3,71,66,71,370,71,82,62,296,225
"T. Mykhalyk",34,74,74,0,"Defender",1700000,1000,2,66,63,62,304,70,58,80,276,221
"Sandro",29,74,74,NA,"Defender",4400000,20000,3,66,71,72,297,67,53,79,358,226
"Gálvez",29,74,74,0,"Defender",4400000,15000,2,72,73,64,236,62,74,86,303,212
"Kel Perinho",34,74,74,2,"Defender",1700000,15000,2,75,74,67,258,42,59,85,277,221
"M. Agu",25,74,77,NA,"Defender",6e+06,6000,2,65,70,70,333,82,84,76,288,221
"E. Sviatchenko",26,74,75,3,"Defender",5500000,20000,2,72,66,66,321,85,75,80,301,222
"Hugo Goiteira",26,74,74,2,"Defender",4900000,15000,2,76,70,55,216,58,61,88,282,217
"M. Niakhaté",22,74,81,4,"Defender",7e+06,20000,2,75,64,65,333,76,76,83,269,220
"B. Nuytinck",28,74,75,2,"Defender",5e+06,20000,2,70,62,58,230,64,55,78,268,228
"J. Buffarini",29,74,74,2,"Defender",4300000,20000,3,66,68,72,398,74,87,74,360,208
"Ignasi Miquel",25,74,78,3,"Defender",6e+06,15000,2,73,58,69,297,60,68,78,272,217
"João Pereira",34,74,74,1,"Defender",1600000,20000,3,55,69,73,371,75,75,51,356,228
"Róber",23,74,82,NA,"Defender",7e+06,15000,2,69,70,70,308,76,72,75,285,228
"Osvaldo Lodeiro",30,74,74,2,"Defender",4200000,15000,2,73,71,63,326,52,41,84,299,228
"Lato",20,74,82,2,"Defender",7e+06,20000,3,68,75,72,382,52,70,57,307,216
"S. Anđelković",32,74,74,1,"Defender",3200000,5000,2,70,50,56,307,76,56,89,239,219
"Fabiano Sonta",26,74,74,2,"Defender",4900000,20000,2,72,65,50,314,62,56,85,287,214
"J. O'Connell",24,74,79,4,"Defender",6500000,10000,2,69,57,54,292,81,73,83,247,217
"K. Wimmer",25,74,77,NA,"Defender",6e+06,20000,2,74,70,66,295,64,65,79,277,224
"A. Barreca",23,74,79,NA,"Defender",6500000,30000,3,65,57,75,392,67,77,70,270,214
"L. Sané",31,74,74,2,"Defender",3800000,8000,2,78,66,62,271,83,63,80,288,214
"A. Raggi",34,74,74,0,"Defender",1700000,40000,2,73,66,69,291,69,61,76,323,218
"Diogo Leite",19,74,85,2,"Defender",8e+06,5000,2,75,55,63,298,66,73,75,257,224
"Dídac Vilà B",29,74,74,1,"Defender",4300000,20000,3,69,68,73,341,72,79,75,316,217
"W. Janssen",31,74,74,2,"Defender",3800000,15000,2,78,74,70,282,84,73,74,354,210
"B. Bereszyński",25,74,75,4,"Defender",5500000,20000,3,60,62,70,390,70,79,69,314,213
"S. García",29,74,74,3,"Defender",4400000,20000,2,78,65,63,276,72,72,78,340,219
"P. Gouano",24,74,78,2,"Defender",6e+06,15000,2,74,67,57,299,76,71,78,241,221
"T. Sainsbury",26,74,76,2,"Defender",5500000,15000,2,74,68,55,362,77,75,76,316,227
"Edgar Ié",24,74,81,NA,"Defender",7e+06,15000,2,66,60,65,348,91,68,73,269,220
"J. Bořil",27,74,74,2,"Defender",4600000,1000,3,70,69,72,372,84,87,75,319,215
"Pol Lirola",20,74,80,2,"Defender",6500000,30000,3,65,67,75,374,68,72,67,293,220
"L. Martínez Quarta",22,74,83,2,"Defender",7500000,15000,3,78,74,70,358,80,69,75,326,214
"William",23,74,79,3,"Defender",6500000,30000,3,48,64,76,391,66,76,65,315,206
"N. Hult  B",28,74,74,1,"Defender",4400000,2000,3,52,65,73,400,80,84,55,325,206
"F. Eboa Eboa",21,74,81,4,"Defender",7e+06,15000,2,77,60,65,330,76,67,73,257,223
"A. Ulmer",32,74,74,3,"Defender",3100000,30000,3,59,63,73,360,57,86,70,313,214
"J. Stryger Larsen",27,74,74,3,"Defender",4600000,20000,3,60,60,70,373,78,79,77,312,220
"N. Murru",23,74,79,3,"Defender",6500000,20000,3,63,61,70,367,74,78,66,286,221
"B. Ecuélé Manga",29,74,74,0,"Defender",4400000,40000,2,72,61,62,249,62,57,83,275,220
"R. Rosales B",29,74,74,NA,"Defender",4300000,20000,3,60,63,73,383,72,69,65,319,219
"J. Dueñas",29,74,74,2,"Defender",5500000,40000,3,68,70,74,376,73,91,75,359,204
"Diogo Figueiras",27,74,74,3,"Defender",4600000,10000,3,53,66,77,419,78,76,37,317,211
"R. Czichos",28,74,74,3,"Defender",4600000,20000,2,69,58,67,320,73,72,80,271,222
"P. Aguilar",32,74,74,1,"Defender",3100000,40000,3,67,68,71,368,82,89,68,325,208
"A. Barboza",23,74,79,NA,"Defender",6500000,10000,2,79,60,64,259,60,75,85,297,219
"A. Epureanu",31,74,74,1,"Defender",3800000,20000,2,81,59,61,237,32,63,87,289,222
"Maurício",26,74,76,2,"Defender",5500000,10000,2,77,68,52,292,91,63,85,262,210
"J. Van Damme  B",34,74,74,0,"Defender",1700000,10000,2,73,59,66,276,63,78,90,346,207
"T. Reginiussen",32,74,74,1,"Defender",3200000,7000,2,71,64,55,313,90,67,84,276,217
"A. Masina",24,74,79,4,"Defender",6500000,30000,3,72,68,70,313,64,78,76,286,217
"J. Vuković",30,74,74,1,"Defender",4200000,1000,2,78,60,58,225,76,60,87,270,219
"J. Aidoo",22,74,81,1,"Defender",7e+06,10000,2,74,42,48,353,86,78,88,240,218
"J. Egan",25,74,77,3,"Defender",6e+06,10000,2,72,69,62,331,77,75,81,262,219
"A. Semenov",29,74,74,NA,"Defender",0,0,2,63,71,70,274,78,75,81,241,226
"Ramalho",25,74,78,3,"Defender",6e+06,20000,2,76,52,60,333,82,65,75,272,222
"Kévin Rodrigues",24,74,79,3,"Defender",6500000,20000,2,73,66,76,365,62,73,61,277,220
"K. Adams Nuhu",23,74,81,4,"Defender",7e+06,20000,2,73,70,66,312,84,69,90,258,217
"Ewerton",29,74,74,1,"Defender",4400000,20000,2,73,52,64,308,82,60,79,276,221
"D. Aogo B",31,74,74,0,"Defender",3800000,30000,3,68,72,73,353,71,74,76,343,216
"Hong Jeong Ho",28,74,74,NA,"Defender",4600000,10000,2,78,55,59,355,87,72,83,299,212
"Y. Gómez Andrade",26,74,75,2,"Defender",5500000,15000,2,86,43,46,217,33,72,91,242,207
"P. Aguedar",30,74,74,NA,"Defender",0,0,2,73,62,60,334,91,70,81,284,221
"Crespo",31,74,74,2,"Defender",3800000,1000,2,62,69,68,336,71,76,74,310,224
"Bigas",27,74,75,NA,"Defender",5500000,20000,2,71,60,66,344,76,76,72,298,218
"Arana",21,74,81,3,"Defender",8e+06,10000,3,61,67,75,378,64,76,64,319,207
"L. Antonelli",31,74,74,2,"Defender",3700000,10000,3,70,68,73,346,75,69,74,331,228
"A. Mawson",24,74,81,3,"Defender",7e+06,30000,2,78,66,65,277,75,55,83,241,221
"M. Lemos",22,74,79,NA,"Defender",6500000,30000,2,72,71,75,320,79,65,74,282,218
"Juan Cala",28,74,74,1,"Defender",4600000,10000,2,70,69,63,313,81,76,81,277,215
"W. Tesillo",28,74,74,4,"Defender",4600000,20000,2,68,59,60,283,49,73,83,261,220
"A. Mariappa",31,74,74,1,"Defender",3800000,40000,2,77,61,65,322,79,63,72,294,227
"S. Morrison",27,74,75,3,"Defender",5500000,40000,2,78,47,54,251,75,61,84,257,222
"Diogo VianaB",28,74,74,0,"Defender",4400000,8000,4,56,67,74,399,40,78,53,340,212
"Yuri Ribeiro",21,74,79,2,"Defender",6500000,7000,3,67,65,75,386,75,71,64,317,213
"A. NyomB",30,74,74,NA,"Defender",4100000,20000,3,64,64,71,314,57,79,86,294,231
"M. Burda",23,74,81,3,"Defender",7e+06,1000,2,72,45,48,295,67,64,80,239,223
"D. Limberský",34,74,74,1,"Defender",1600000,1000,3,63,68,72,371,68,71,77,361,223
"I. Koné",30,74,74,NA,"Defender",0,0,2,73,72,62,289,67,62,81,284,223
"P. Diamanka",28,74,74,0,"Defender",4600000,10000,3,56,68,68,331,90,80,79,325,224
"J. Foyth",20,74,85,3,"Defender",8500000,40000,3,74,53,73,359,72,65,71,280,221
"W. Troost-Ekong",24,74,78,3,"Defender",6e+06,20000,2,76,52,50,298,70,68,85,261,221
"C. Daniels B",31,74,74,1,"Defender",3700000,40000,3,67,69,74,351,76,68,68,352,223
"J. Kana-Biyik",28,74,74,0,"Defender",4600000,15000,2,74,57,59,305,74,69,84,280,215
"A. Flint",28,74,74,3,"Defender",4600000,40000,2,82,51,57,228,74,69,90,282,217
"D. Foulquier",25,74,75,NA,"Defender",6500000,20000,3,64,65,75,355,70,78,77,321,222
"S. Prödl",31,74,74,2,"Defender",3800000,40000,2,81,49,54,185,34,39,88,275,221
"V. Laurini",29,74,74,1,"Defender",4300000,40000,3,60,60,68,382,78,78,66,275,220
"A. Eschenko",34,74,74,1,"Defender",1600000,2000,2,66,70,73,389,50,82,67,339,216
"A. OyongoB",27,74,74,3,"Defender",4600000,20000,3,42,64,72,412,70,85,65,329,210
"Ricardo Ferreira",25,74,77,0,"Defender",6e+06,10000,2,75,53,55,267,44,33,77,279,230
"R. Pérez",28,74,74,1,"Defender",4600000,5000,2,67,30,63,285,67,53,90,269,217
"F. Bastians",30,74,74,0,"Defender",4200000,15000,2,72,68,55,328,73,83,78,325,225
"H. Kaldırım",28,74,74,1,"Defender",4400000,50000,3,58,70,70,357,68,80,66,312,216
"Marc Navarro",22,74,79,4,"Defender",6500000,30000,2,75,65,74,333,41,69,69,290,221
"Dória",23,74,78,3,"Defender",6e+06,15000,2,73,63,63,282,69,63,79,278,223
"D. Biraschi",23,74,81,3,"Defender",7e+06,10000,2,66,60,69,324,72,58,72,269,229
"Pedro Rebocho",23,74,81,3,"Defender",6500000,15000,3,64,72,75,366,81,74,70,302,219
"I. Strinić",30,74,74,2,"Defender",4100000,60000,3,60,66,74,346,69,73,75,333,226
"D. Bocanegra",31,74,74,1,"Defender",3800000,6000,2,72,65,72,332,81,78,74,311,218
"Jefferson",29,74,74,1,"Defender",4300000,10000,2,64,77,74,368,71,75,71,343,219
"M. Tisserand",25,74,78,3,"Defender",6e+06,30000,3,76,72,71,342,72,75,77,344,216
"Ç. Söyüncü",22,74,81,4,"Defender",7e+06,40000,2,68,55,59,323,68,67,78,295,230
"Marcão",22,74,79,2,"Defender",6500000,30000,2,68,60,58,305,84,60,77,275,219
"G. Rodríguez",34,74,74,1,"Defender",1700000,15000,2,78,65,67,322,81,66,78,323,214
"Padilhisco",26,74,74,2,"Defender",4800000,10000,4,62,67,76,368,60,81,72,268,216
"M. Linnes",26,74,74,1,"Defender",4800000,40000,3,55,62,73,403,66,82,60,304,210
"A. Hack",24,74,78,3,"Defender",6e+06,20000,2,76,75,65,312,67,69,83,270,219
"J. Stephens",24,74,80,3,"Defender",6500000,30000,2,75,59,72,315,63,72,75,276,219
"S. Ward",32,74,74,0,"Defender",3100000,40000,3,73,67,73,318,72,74,72,342,227
"Rúben Semedo",24,74,80,NA,"Defender",6500000,8000,2,74,60,65,322,77,69,78,289,210
"M. Bakalorz",28,74,74,3,"Defender",4600000,30000,2,65,68,67,338,81,84,76,349,227
"Álex Moreno B",25,74,77,2,"Defender",6e+06,15000,3,62,64,74,391,66,90,39,318,209
"F. HadergjonajB",23,74,79,1,"Defender",6500000,30000,3,64,68,73,373,70,78,61,297,214
"D. Diekmeier B",28,74,74,3,"Defender",4400000,7000,3,67,65,67,350,68,76,74,298,212
"G. Mancini",22,74,85,1,"Defender",8500000,20000,2,75,40,59,275,69,62,76,269,227
"R. Haps",25,74,77,3,"Defender",6e+06,10000,3,55,60,72,408,73,80,64,322,212
"D. Le Tallec",28,74,74,3,"Defender",4600000,20000,2,74,70,71,333,74,75,77,339,225
"C. Mbemba",23,74,79,3,"Defender",6500000,10000,2,74,64,67,340,86,67,78,275,218
"M. Degenek",24,74,81,3,"Defender",7e+06,20000,2,70,72,64,378,81,86,84,331,216
"Jesus Andradaldo",26,74,74,2,"Defender",4800000,20000,3,75,67,69,351,77,76,58,317,226
"Gonçalo Silva",27,74,76,1,"Defender",5500000,7000,2,73,67,51,308,64,84,73,266,227
"E. Zukanović",31,74,74,2,"Defender",3800000,15000,2,77,66,63,271,52,66,84,300,224
"A. Baba",23,74,78,NA,"Defender",6e+06,15000,3,67,67,75,383,75,68,64,304,218
"Ş. Özbayraklı",28,74,74,0,"Defender",4400000,50000,3,64,65,72,384,74,83,66,322,208
"M. Le Marchand",28,74,74,3,"Defender",4600000,40000,2,73,72,71,335,75,76,73,280,217
"T. Klose",30,74,74,3,"Defender",4200000,20000,2,81,70,49,222,60,63,84,269,224
"B. Gibson",25,74,79,3,"Defender",6500000,40000,2,74,57,62,316,75,63,77,241,225
"S. Falette",26,74,77,2,"Defender",6e+06,30000,2,73,55,52,298,78,66,91,281,212
"R. Hubník",34,74,74,1,"Defender",1700000,1000,2,79,66,59,291,68,63,84,316,211
"RodrigoB",25,74,77,2,"Defender",6e+06,10000,3,56,60,73,384,80,86,70,328,214
"A. Adnan B",24,74,75,2,"Defender",5500000,7000,4,66,67,75,360,77,84,80,347,215
"D. Viera",27,74,76,0,"Defender",5500000,15000,2,79,56,51,296,37,62,91,253,218
"I. Doumbia",20,74,84,5,"Defender",8e+06,8000,3,65,66,72,334,70,77,90,325,213
"A. Bjelland",29,74,74,3,"Defender",4400000,20000,2,72,73,67,254,79,66,84,304,220
"B. Bianchi",29,74,74,1,"Defender",4400000,10000,2,70,66,61,301,73,67,80,245,224
"Baiano",31,74,74,1,"Defender",3700000,10000,3,63,63,72,379,77,81,67,317,219
"Juanfran B",29,74,74,NA,"Defender",4300000,20000,3,69,67,79,370,74,78,73,328,213
"J. Uronen",23,74,78,3,"Defender",6e+06,10000,3,56,67,66,366,71,87,69,305,218
"V. Rosier B",21,74,81,3,"Defender",6500000,9000,3,64,63,74,368,67,75,66,305,217
"S. Corchia",27,74,74,NA,"Defender",4600000,10000,3,70,74,75,370,70,63,67,351,224
"P. Goltz",33,74,74,1,"Defender",2300000,20000,2,75,66,62,288,73,67,85,325,216
"Clinton Mata",25,74,75,3,"Defender",5500000,15000,4,59,69,74,399,90,84,73,328,219
"De la Bella",32,74,74,1,"Defender",3100000,10000,3,76,70,74,322,66,70,68,313,220
"Jorge Miramón B",29,74,74,0,"Defender",4300000,20000,3,72,70,70,354,60,86,76,323,218
"Ricardo Costa",37,74,74,0,"Defender",375000,4000,2,72,47,52,288,92,63,77,296,220
"A. Chedjou",33,74,74,NA,"Defender",2300000,15000,3,76,68,62,316,79,67,76,312,216
"Luna",27,74,74,2,"Defender",4600000,20000,3,64,63,74,345,73,77,74,332,218
"C. Awaziem",21,74,81,NA,"Defender",7e+06,9000,2,70,54,62,333,73,67,77,248,221
"V. Coufal",25,74,75,2,"Defender",5500000,1000,3,55,70,72,370,83,88,74,308,218
"B. Douglas",28,74,74,2,"Defender",4400000,40000,3,61,68,72,363,68,83,59,348,213
"Enaldo Toxeto",30,74,74,2,"Defender",4200000,20000,2,74,71,72,324,67,74,73,293,215
"Marc Muniesa",26,74,77,2,"Defender",6e+06,20000,2,72,56,73,299,83,70,67,328,220
"A. Webster",23,73,77,3,"Defender",4400000,30000,2,76,70,70,329,77,67,76,241,210
"J. Sorbon",34,73,73,1,"Defender",1200000,15000,2,73,56,64,251,63,50,76,282,222
"K. Ajer",20,73,82,3,"Defender",5500000,30000,3,73,64,71,292,52,82,88,302,216
"F. Sacko",23,73,79,3,"Defender",4600000,8000,3,58,56,69,423,83,86,66,298,205
"V. Jovanović",22,73,77,2,"Defender",4400000,20000,2,70,60,67,274,72,70,75,307,218
"Bebeto",28,73,73,1,"Defender",3200000,9000,3,60,55,68,378,79,82,58,292,213
"T. Smith",26,73,74,1,"Defender",3800000,30000,3,66,62,70,340,66,76,69,316,214
"J. Kenny",21,73,79,3,"Defender",4600000,40000,3,64,60,67,354,72,71,65,324,221
"K. Omeruo",24,73,80,1,"Defender",4800000,20000,2,71,60,60,335,90,74,82,249,210
"D. Dessoleil",25,73,76,5,"Defender",4200000,10000,2,78,65,50,302,62,73,79,262,218
"D. Pérez",29,73,73,1,"Defender",3e+06,15000,3,60,60,68,400,88,91,43,313,213
"S. Taniguchi",26,73,74,2,"Defender",3900000,8000,2,74,66,64,321,88,78,73,283,218
"D. Braghieri",31,73,73,NA,"Defender",2700000,15000,2,75,59,65,290,67,69,81,285,217
"Carlos Ponck",23,73,78,3,"Defender",4500000,9000,2,71,54,61,312,92,77,77,291,219
"M. Zaldivia",27,73,75,2,"Defender",3900000,7000,2,71,65,60,276,85,80,80,303,220
"M. Miazga",22,73,78,3,"Defender",4500000,20000,2,73,54,66,277,79,68,83,238,211
"V. Karavaev",23,73,77,2,"Defender",4300000,10000,3,62,69,69,366,74,85,59,324,214
"T. Leibold",24,73,76,2,"Defender",4200000,15000,3,54,62,69,412,78,78,65,338,212
"L. Landre",26,73,76,2,"Defender",4200000,15000,2,72,61,59,311,78,62,74,299,209
"Patric",25,73,76,3,"Defender",4200000,30000,3,69,55,74,342,67,69,68,310,225
"M. Russ",32,73,73,1,"Defender",2300000,20000,2,80,65,44,209,53,39,83,282,222
"C. LöweB",29,73,73,0,"Defender",3e+06,30000,3,58,67,70,366,76,77,60,341,215
"J. Ward",28,73,73,2,"Defender",3200000,40000,3,73,69,69,312,65,72,71,320,229
"J. Schunke",31,73,73,2,"Defender",2700000,15000,2,79,69,62,192,31,62,92,261,210
"Manquillo  B",24,73,77,1,"Defender",4300000,30000,3,64,62,74,353,66,78,64,293,215
"A. Scholz",25,73,76,4,"Defender",4200000,15000,2,70,64,66,313,61,75,79,302,216
"Rodrigo Becão",22,73,83,0,"Defender",5500000,1000,2,75,65,57,286,71,60,75,237,226
"M. Loum",21,73,82,NA,"Defender",5500000,8000,2,69,65,65,282,82,77,83,308,217
"J. Molina",30,73,73,2,"Defender",3e+06,30000,3,86,70,69,352,74,90,80,332,209
"G. Silva",24,73,78,2,"Defender",4500000,15000,3,71,66,71,327,62,72,76,299,220
"Kim Min Jae",21,73,80,2,"Defender",4800000,10000,2,75,59,49,347,72,68,87,275,212
"S. Vittor",29,73,73,NA,"Defender",3100000,10000,2,74,66,64,246,64,74,87,319,213
"Rodrigo Galo B",31,73,73,0,"Defender",2600000,1000,3,58,65,75,368,68,78,65,317,212
"R. Fredericks",25,73,75,3,"Defender",4e+06,50000,3,52,60,69,409,62,77,65,325,212
"E. Krafth",23,73,77,NA,"Defender",4300000,10000,3,64,62,68,368,68,76,68,311,220
"P. Cissé",22,73,80,3,"Defender",4800000,1000,2,74,50,44,304,80,70,90,261,214
"N. Gießelmann",26,73,74,1,"Defender",3800000,20000,3,66,65,71,359,82,79,74,309,214
"L. Jara B",27,73,73,NA,"Defender",3300000,7000,3,60,72,73,338,71,86,79,310,212
"T. Ouwejan",22,73,78,3,"Defender",4500000,10000,3,63,69,70,359,66,78,70,308,216
"F. Kudryashov B",31,73,73,1,"Defender",2700000,20000,2,63,60,69,356,70,72,73,294,221
"J. Pivarić",29,73,73,1,"Defender",3e+06,1000,3,44,68,72,368,64,77,61,302,209
"E. Goldaniga",24,73,74,NA,"Defender",4e+06,10000,2,71,56,59,245,79,54,78,213,219
"J. St. Juste",21,73,78,2,"Defender",4500000,8000,3,68,68,72,375,86,75,72,327,217
